Ligand,Energy,Label
decoys_00352_REMARKName=ZINC15377241,-8.13,decoy
decoys_01850_REMARKName=ZINC39132970,-5.98,decoy
decoys_06480_REMARKName=ZINC36005434,-8.56,decoy
decoys_02727_REMARKName=ZINC44563391,-8.28,decoy
decoys_06141_REMARKName=ZINC54111676,-7.2,decoy
decoys_04011_REMARKName=ZINC55091804,-6.05,decoy
decoys_04136_REMARKName=ZINC38050764,-7.4,decoy
actives_00073_REMARKName=CHEMBL536485,-10.91,active
decoys_05632_REMARKName=ZINC34898308,-5.12,decoy
decoys_02484_REMARKName=ZINC18199539,-9.59,decoy
decoys_03321_REMARKName=ZINC36813094,-7.07,decoy
decoys_00298_REMARKName=ZINC13012589,-9.53,decoy
decoys_02546_REMARKName=ZINC37424905,-5.37,decoy
decoys_04550_REMARKName=ZINC33024426,-11.02,decoy
decoys_02180_REMARKName=ZINC57772680,-8.9,decoy
decoys_03767_REMARKName=ZINC16513010,-8.21,decoy
decoys_00408_REMARKName=ZINC17045864,-7.98,decoy
decoys_05184_REMARKName=ZINC23483083,-8.74,decoy
decoys_04236_REMARKName=ZINC40687342,-7.48,decoy
decoys_00783_REMARKName=ZINC44322540,-9.57,decoy
decoys_01516_REMARKName=ZINC63426770,-8.65,decoy
decoys_01611_REMARKName=ZINC42789861,-8.8,decoy
decoys_04508_REMARKName=ZINC03830582,-6.96,decoy
decoys_00075_REMARKName=ZINC38598999,-10.19,decoy
decoys_05520_REMARKName=ZINC24283998,-9.55,decoy
decoys_03513_REMARKName=ZINC19908799,-9.71,decoy
decoys_04579_REMARKName=ZINC39677893,-9.33,decoy
decoys_04492_REMARKName=ZINC04891177,-9.18,decoy
decoys_05550_REMARKName=ZINC08734789,-9.17,decoy
decoys_01807_REMARKName=ZINC01711862,-6.58,decoy
decoys_01747_REMARKName=ZINC04161157,-6.94,decoy
decoys_05400_REMARKName=ZINC54805340,-7.57,decoy
decoys_00535_REMARKName=ZINC67397649,-8.11,decoy
decoys_06925_REMARKName=ZINC34734725,-10.07,decoy
decoys_05933_REMARKName=ZINC63179566,-6.84,decoy
decoys_04771_REMARKName=ZINC04191506,-7.01,decoy
decoys_03082_REMARKName=ZINC00649201,-8.38,decoy
decoys_03929_REMARKName=ZINC08789432,-7.5,decoy
decoys_02235_REMARKName=ZINC39696206,-9.62,decoy
decoys_05808_REMARKName=ZINC02285344,-9.09,decoy
decoys_04689_REMARKName=ZINC19848420,-9.32,decoy
decoys_05110_REMARKName=ZINC09474905,-8.45,decoy
decoys_03539_REMARKName=ZINC02316099,-8.33,decoy
decoys_02880_REMARKName=ZINC37015556,-8.49,decoy
decoys_03272_REMARKName=ZINC40620949,-7.45,decoy
decoys_01488_REMARKName=ZINC36203509,-8.96,decoy
decoys_01627_REMARKName=ZINC05158570,-8.51,decoy
decoys_04643_REMARKName=ZINC43554334,-9.78,decoy
decoys_00389_REMARKName=ZINC63349689,-8.0,decoy
decoys_05230_REMARKName=ZINC36005486,-8.49,decoy
decoys_06461_REMARKName=ZINC19961986,-9.87,decoy
actives_00104_REMARKName=CHEMBL605326,-7.94,active
actives_00044_REMARKName=CHEMBL255360,-9.37,active
decoys_03331_REMARKName=ZINC37972345,-8.26,decoy
decoys_02976_REMARKName=ZINC35427295,-8.97,decoy
decoys_04703_REMARKName=ZINC64031843,-10.61,decoy
decoys_01183_REMARKName=ZINC08390128,-8.17,decoy
decoys_05334_REMARKName=ZINC05811537,-7.39,decoy
decoys_01729_REMARKName=ZINC61501207,-8.0,decoy
decoys_05383_REMARKName=ZINC01236082,-8.53,decoy
decoys_05869_REMARKName=ZINC41302069,-8.81,decoy
decoys_06856_REMARKName=ZINC12097935,-9.26,decoy
decoys_06018_REMARKName=ZINC22819497,-8.27,decoy
decoys_04231_REMARKName=ZINC39738271,-9.53,decoy
actives_00075_REMARKName=CHEMBL488428,-10.89,active
decoys_03718_REMARKName=ZINC08776570,-8.18,decoy
decoys_01116_REMARKName=ZINC39711246,-7.7,decoy
decoys_00135_REMARKName=ZINC32106593,-9.66,decoy
decoys_01036_REMARKName=ZINC36013955,-7.54,decoy
decoys_03691_REMARKName=ZINC02249678,-7.08,decoy
decoys_03622_REMARKName=ZINC08529873,-9.61,decoy
decoys_06782_REMARKName=ZINC19798679,-10.05,decoy
decoys_04038_REMARKName=ZINC63152764,-6.29,decoy
decoys_02570_REMARKName=ZINC40917563,-10.13,decoy
decoys_05228_REMARKName=ZINC34786233,-8.99,decoy
decoys_04613_REMARKName=ZINC12881564,-8.72,decoy
decoys_06600_REMARKName=ZINC40740297,-7.11,decoy
decoys_01740_REMARKName=ZINC67042064,-9.22,decoy
decoys_05825_REMARKName=ZINC63808356,-8.83,decoy
decoys_06146_REMARKName=ZINC03006914,-9.44,decoy
decoys_02468_REMARKName=ZINC64136863,-7.99,decoy
decoys_04546_REMARKName=ZINC09056429,-9.91,decoy
decoys_06812_REMARKName=ZINC23483125,-8.84,decoy
decoys_01751_REMARKName=ZINC08048268,-6.13,decoy
decoys_02086_REMARKName=ZINC27368674,-7.85,decoy
decoys_01766_REMARKName=ZINC20922670,-10.32,decoy
decoys_01648_REMARKName=ZINC12867993,-7.43,decoy
decoys_01179_REMARKName=ZINC23063210,-8.95,decoy
decoys_01828_REMARKName=ZINC36678671,-5.84,decoy
decoys_02375_REMARKName=ZINC22620725,-9.87,decoy
decoys_02583_REMARKName=ZINC09124104,-8.2,decoy
decoys_04063_REMARKName=ZINC39090517,-5.47,decoy
decoys_06327_REMARKName=ZINC63573183,-8.08,decoy
decoys_06455_REMARKName=ZINC09805432,-9.37,decoy
decoys_02318_REMARKName=ZINC35760397,-8.27,decoy
decoys_03141_REMARKName=ZINC59401718,-9.95,decoy
decoys_02960_REMARKName=ZINC00805813,-8.26,decoy
decoys_01266_REMARKName=ZINC32644036,-7.49,decoy
decoys_02879_REMARKName=ZINC08920798,-10.52,decoy
decoys_05197_REMARKName=ZINC39965212,-8.9,decoy
decoys_06395_REMARKName=ZINC08763175,-9.65,decoy
decoys_00546_REMARKName=ZINC67452224,-8.2,decoy
decoys_00227_REMARKName=ZINC63131378,-7.01,decoy
decoys_02890_REMARKName=ZINC54380714,-4.5,decoy
decoys_05207_REMARKName=ZINC39940957,-9.22,decoy
actives_00048_REMARKName=CHEMBL259753,-10.96,active
decoys_00516_REMARKName=ZINC05685483,-5.98,decoy
decoys_03819_REMARKName=ZINC09915730,-6.53,decoy
decoys_04875_REMARKName=ZINC66448287,-9.16,decoy
decoys_06341_REMARKName=ZINC08928050,-8.32,decoy
decoys_04212_REMARKName=ZINC02245078,-7.63,decoy
decoys_00735_REMARKName=ZINC35774808,-6.72,decoy
decoys_04520_REMARKName=ZINC45313198,-7.96,decoy
decoys_03987_REMARKName=ZINC19968193,-7.29,decoy
decoys_05480_REMARKName=ZINC63294445,-9.13,decoy
decoys_00471_REMARKName=ZINC22055034,-6.71,decoy
decoys_00884_REMARKName=ZINC39699849,-10.25,decoy
decoys_06903_REMARKName=ZINC08816775,-8.25,decoy
decoys_05677_REMARKName=ZINC35598129,-8.5,decoy
decoys_05527_REMARKName=ZINC05285363,-8.42,decoy
decoys_05717_REMARKName=ZINC67389366,-9.06,decoy
decoys_04436_REMARKName=ZINC03978069,-9.0,decoy
