Ligand,Energy,Label,Best_Receptor
ZINC38687331,-9.27,decoy,crystal
ZINC12702988,-10.08,decoy,crystal
ZINC21810100,-8.3,decoy,crystal
ZINC09515554,-10.39,decoy,crystal
ZINC21129559,-10.22,decoy,crystal
ZINC22107961,-11.31,decoy,crystal
ZINC63869771,-11.63,decoy,crystal
ZINC21248355,-10.82,decoy,crystal
ZINC12402319,-6.64,decoy,crystal
ZINC38660334,-8.42,decoy,crystal
ZINC20803057,-8.54,decoy,crystal
ZINC63374847,-11.22,decoy,crystal
ZINC06409030,-9.39,decoy,crystal
ZINC09238993,-7.13,decoy,crystal
ZINC63806952,-10.15,decoy,crystal
ZINC02326130,-9.32,decoy,crystal
ZINC21224904,-7.62,decoy,crystal
ZINC27448803,-10.02,decoy,crystal
ZINC30987309,-11.71,decoy,crystal
ZINC31267593,-10.43,decoy,crystal
ZINC42138523,-7.49,decoy,crystal
ZINC08715937,-9.24,decoy,crystal
ZINC12417198,-5.35,decoy,crystal
ZINC54479582,-9.18,decoy,crystal
ZINC59293273,-6.52,decoy,crystal
ZINC37358662,-7.6,decoy,crystal
ZINC23101179,-9.68,decoy,crystal
ZINC36490807,-6.3,decoy,crystal
ZINC46643033,-9.49,decoy,crystal
ZINC63339920,-9.02,decoy,crystal
ZINC10674412,-9.64,decoy,crystal
ZINC40247784,-7.87,decoy,crystal
ZINC40057722,-9.34,decoy,crystal
ZINC14263175,-10.08,decoy,crystal
ZINC63374577,-6.14,decoy,crystal
ZINC01245171,-8.71,decoy,crystal
ZINC15138812,-10.52,decoy,crystal
ZINC34791046,-7.27,decoy,crystal
ZINC04237230,-7.39,decoy,crystal
ZINC05883972,-6.57,decoy,crystal
ZINC02708660,-8.71,decoy,crystal
ZINC05394422,-8.79,decoy,crystal
ZINC39672265,-9.46,decoy,crystal
ZINC58913821,-9.32,decoy,crystal
ZINC39839530,-8.52,decoy,crystal
ZINC03458010,-8.56,decoy,crystal
ZINC12630199,-7.56,decoy,crystal
ZINC11997930,-9.23,decoy,crystal
ZINC59056658,-10.14,decoy,crystal
ZINC39446050,-7.83,decoy,crystal
ZINC20242835,-8.8,decoy,crystal
ZINC27100144,-9.21,decoy,crystal
ZINC08994209,-11.2,decoy,crystal
ZINC13065049,-11.69,decoy,crystal
ZINC39966179,-11.67,decoy,crystal
ZINC40701805,-8.37,decoy,crystal
ZINC59484457,-9.05,decoy,crystal
ZINC39457190,-6.66,decoy,crystal
ZINC13065447,-11.96,decoy,crystal
ZINC04700406,-10.14,decoy,crystal
ZINC27659950,-8.89,decoy,crystal
ZINC06193636,-10.43,decoy,crystal
ZINC36637288,-10.43,decoy,crystal
ZINC40687408,-8.32,decoy,crystal
ZINC63485995,-9.89,decoy,crystal
ZINC06301589,-10.33,decoy,crystal
ZINC05079212,-8.34,decoy,crystal
ZINC35747085,-9.69,decoy,crystal
ZINC39673290,-8.54,decoy,crystal
ZINC22681518,-9.92,decoy,crystal
ZINC04188025,-5.53,decoy,crystal
ZINC21263626,-8.06,decoy,crystal
ZINC63614349,-9.37,decoy,crystal
ZINC14979284,-9.07,decoy,crystal
ZINC11500392,-10.4,decoy,crystal
ZINC20833078,-11.46,decoy,crystal
ZINC02430467,-8.2,decoy,crystal
ZINC15069676,-7.9,decoy,crystal
ZINC63270507,-9.79,decoy,crystal
ZINC45235752,-10.09,decoy,crystal
ZINC39478764,-9.85,decoy,crystal
ZINC39623413,-8.55,decoy,crystal
ZINC35550700,-12.22,decoy,crystal
ZINC66397675,-9.28,decoy,crystal
ZINC63272836,-11.08,decoy,crystal
ZINC16828009,-11.36,decoy,crystal
ZINC12772322,-6.89,decoy,crystal
