Ligand,Energy,Label,Best_Receptor
ZINC04073697,-9.73,decoy,crystal
ZINC53123674,-7.73,decoy,crystal
ZINC04729228,-9.26,decoy,crystal
ZINC12052180,-8.27,decoy,crystal
ZINC49128931,-7.82,decoy,crystal
ZINC43383089,-4.9,decoy,crystal
ZINC43284035,-6.66,decoy,crystal
ZINC32620577,-8.09,decoy,crystal
ZINC62586808,-7.16,decoy,crystal
CHEMBL470410,-10.03,active,crystal
ZINC06919969,-8.21,decoy,crystal
ZINC39664073,-9.0,decoy,crystal
ZINC39631271,-9.65,decoy,crystal
ZINC44164673,-10.91,decoy,crystal
ZINC40674678,-6.62,decoy,crystal
ZINC16026465,-8.99,decoy,crystal
CHEMBL389468,-10.83,active,crystal
ZINC40687546,-8.02,decoy,crystal
ZINC10109442,-9.76,decoy,crystal
ZINC59577937,-8.39,decoy,crystal
ZINC57356147,-7.43,decoy,crystal
ZINC09663267,-9.29,decoy,crystal
ZINC21595367,-9.89,decoy,crystal
ZINC39844128,-10.21,decoy,crystal
ZINC20503840,-10.54,decoy,crystal
ZINC12465906,-7.2,decoy,crystal
ZINC20595075,-10.28,decoy,crystal
ZINC13134526,-9.55,decoy,crystal
ZINC61689358,-6.67,decoy,crystal
ZINC43247999,-8.5,decoy,crystal
ZINC37867486,-10.07,decoy,crystal
ZINC59501623,-10.0,decoy,crystal
ZINC43262809,-6.14,decoy,crystal
ZINC39696200,-9.69,decoy,crystal
ZINC12329191,-9.07,decoy,crystal
ZINC10108331,-9.27,decoy,crystal
ZINC07002254,-8.5,decoy,crystal
ZINC36919965,-8.54,decoy,crystal
ZINC12491056,-8.75,decoy,crystal
ZINC59935773,-8.78,decoy,crystal
ZINC39315483,-6.58,decoy,crystal
ZINC38614272,-10.88,decoy,crystal
ZINC06537754,-6.46,decoy,crystal
ZINC40720528,-7.63,decoy,crystal
ZINC23362818,-10.25,decoy,crystal
ZINC09542881,-10.43,decoy,crystal
ZINC49570352,-7.76,decoy,crystal
ZINC65248038,-10.56,decoy,crystal
ZINC08718185,-9.02,decoy,crystal
ZINC25061568,-10.61,decoy,crystal
ZINC43547949,-10.15,decoy,crystal
ZINC27537430,-7.93,decoy,crystal
ZINC35646608,-8.41,decoy,crystal
ZINC02645818,-9.74,decoy,crystal
ZINC12289759,-10.15,decoy,crystal
CHEMBL378870,-9.54,active,crystal
ZINC43258799,-7.37,decoy,crystal
ZINC39354231,-8.81,decoy,crystal
ZINC35695321,-9.52,decoy,crystal
ZINC40981155,-8.59,decoy,crystal
ZINC66390430,-9.42,decoy,crystal
ZINC11878473,-9.34,decoy,crystal
ZINC12603266,-8.75,decoy,crystal
ZINC67414106,-7.62,decoy,crystal
ZINC51063789,-8.28,decoy,crystal
ZINC63386414,-7.81,decoy,crystal
ZINC43262831,-7.14,decoy,crystal
ZINC63182689,-8.64,decoy,crystal
ZINC13573165,-8.52,decoy,crystal
ZINC09331908,-9.43,decoy,crystal
ZINC08762924,-9.14,decoy,crystal
ZINC45551753,-7.23,decoy,crystal
ZINC66179633,-8.16,decoy,crystal
ZINC12603493,-8.52,decoy,crystal
ZINC63393733,-8.99,decoy,crystal
ZINC39265540,-8.96,decoy,crystal
ZINC29854426,-9.17,decoy,crystal
ZINC66371937,-7.02,decoy,crystal
ZINC12582436,-9.04,decoy,crystal
ZINC63941331,-9.01,decoy,crystal
ZINC39683980,-10.69,decoy,crystal
ZINC41653323,-8.83,decoy,crystal
ZINC48286022,-8.83,decoy,crystal
ZINC12437167,-10.2,decoy,crystal
ZINC59500961,-10.01,decoy,crystal
ZINC59447233,-9.94,decoy,crystal
ZINC16941990,-6.7,decoy,crystal
ZINC63362288,-8.13,decoy,crystal
ZINC36046322,-8.19,decoy,crystal
ZINC42398122,-7.31,decoy,crystal
ZINC59169373,-8.41,decoy,crystal
ZINC41666179,-8.74,decoy,crystal
ZINC01075720,-6.08,decoy,crystal
ZINC13816200,-7.3,decoy,crystal
ZINC45356373,-8.81,decoy,crystal
ZINC63557230,-9.28,decoy,crystal
ZINC05766439,-6.87,decoy,crystal
ZINC45623816,-8.24,decoy,crystal
ZINC02293512,-9.23,decoy,crystal
ZINC65298096,-9.34,decoy,crystal
ZINC61982732,-8.38,decoy,crystal
ZINC61951405,-7.69,decoy,crystal
ZINC22362999,-8.14,decoy,crystal
ZINC64713345,-9.95,decoy,crystal
ZINC09636268,-8.89,decoy,crystal
ZINC08400213,-8.06,decoy,crystal
ZINC42457824,-7.26,decoy,crystal
ZINC42744550,-7.55,decoy,crystal
ZINC39709842,-10.23,decoy,crystal
ZINC34749967,-9.18,decoy,crystal
ZINC10061550,-8.56,decoy,crystal
ZINC12329501,-9.65,decoy,crystal
ZINC38610019,-10.52,decoy,crystal
ZINC39670585,-10.34,decoy,crystal
ZINC39676316,-11.64,decoy,crystal
ZINC63731997,-9.78,decoy,crystal
ZINC07493875,-9.34,decoy,crystal
ZINC39552535,-9.68,decoy,crystal
ZINC48605024,-7.85,decoy,crystal
ZINC63933114,-8.42,decoy,crystal
ZINC63557059,-9.67,decoy,crystal
ZINC36629467,-9.19,decoy,crystal
ZINC65602216,-7.1,decoy,crystal
ZINC62794421,-8.57,decoy,crystal
CHEMBL1095612,-9.13,active,crystal
ZINC40743764,-7.92,decoy,crystal
ZINC37270452,-7.8,decoy,crystal
ZINC66321128,-6.6,decoy,crystal
ZINC42360233,-7.69,decoy,crystal
ZINC43260874,-7.62,decoy,crystal
ZINC36206463,-7.38,decoy,crystal
ZINC04705903,-9.51,decoy,crystal
ZINC63159671,-10.98,decoy,crystal
ZINC64684849,-7.12,decoy,crystal
ZINC36202533,-8.09,decoy,crystal
ZINC43741069,-7.48,decoy,crystal
ZINC36813034,-7.51,decoy,crystal
ZINC08869028,-9.24,decoy,crystal
ZINC66202191,-8.85,decoy,crystal
ZINC61882504,-7.94,decoy,crystal
ZINC09630287,-8.89,decoy,crystal
ZINC41333845,-7.59,decoy,crystal
ZINC51056809,-8.84,decoy,crystal
ZINC63291106,-10.95,decoy,crystal
ZINC38799973,-12.93,decoy,crystal
ZINC61595670,-7.44,decoy,crystal
ZINC34792183,-9.7,decoy,crystal
ZINC04196491,-10.09,decoy,crystal
ZINC38733248,-8.61,decoy,crystal
ZINC61368952,-8.56,decoy,crystal
ZINC04850459,-7.19,decoy,crystal
ZINC46053930,-7.79,decoy,crystal
ZINC09265142,-9.57,decoy,crystal
ZINC36550988,-9.91,decoy,crystal
ZINC63303063,-9.02,decoy,crystal
ZINC54440520,-7.33,decoy,crystal
ZINC40661795,-7.67,decoy,crystal
ZINC63374793,-9.7,decoy,crystal
ZINC14528341,-9.67,decoy,crystal
ZINC24945946,-10.91,decoy,crystal
ZINC36273089,-8.21,decoy,crystal
ZINC36507483,-9.63,decoy,crystal
ZINC55888300,-10.37,decoy,crystal
ZINC39467095,-8.58,decoy,crystal
ZINC14536791,-11.17,decoy,crystal
ZINC11616142,-6.97,decoy,crystal
ZINC27908731,-7.79,decoy,crystal
ZINC02868401,-9.69,decoy,crystal
ZINC12697712,-8.15,decoy,crystal
ZINC63531245,-10.22,decoy,crystal
ZINC39674606,-11.27,decoy,crystal
ZINC09510166,-8.75,decoy,crystal
ZINC10068174,-9.03,decoy,crystal
ZINC39632085,-11.05,decoy,crystal
ZINC06702252,-7.69,decoy,crystal
ZINC59170677,-10.74,decoy,crystal
ZINC63236933,-9.08,decoy,crystal
ZINC35368331,-7.01,decoy,crystal
ZINC59619519,-9.71,decoy,crystal
ZINC05027365,-8.87,decoy,crystal
ZINC16975601,-7.53,decoy,crystal
CHEMBL227325,-10.26,active,crystal
ZINC39655460,-10.29,decoy,crystal
ZINC51046292,-7.49,decoy,crystal
ZINC38779472,-10.79,decoy,crystal
ZINC25049106,-8.95,decoy,crystal
ZINC39308713,-8.44,decoy,crystal
ZINC39683444,-8.81,decoy,crystal
ZINC20685408,-10.61,decoy,crystal
ZINC52344188,-6.45,decoy,crystal
