Ligand,Energy,Label,Best_Receptor
ZINC36346804,-7.83,decoy,crystal
ZINC36547082,-8.44,decoy,crystal
ZINC39987029,-10.68,decoy,crystal
ZINC33869204,-8.2,decoy,crystal
ZINC24720111,-9.59,decoy,crystal
ZINC20452780,-8.51,decoy,crystal
ZINC38687837,-9.43,decoy,crystal
ZINC48862775,-6.69,decoy,crystal
ZINC33383343,-9.02,decoy,crystal
ZINC64251325,-7.92,decoy,crystal
ZINC49167038,-7.2,decoy,crystal
ZINC08834867,-9.44,decoy,crystal
CHEMBL514536,-9.76,active,crystal
ZINC08026391,-8.91,decoy,crystal
ZINC22927046,-7.7,decoy,crystal
ZINC04222459,-11.32,decoy,crystal
ZINC15955664,-8.46,decoy,crystal
ZINC08922991,-9.91,decoy,crystal
ZINC00914789,-10.13,decoy,crystal
ZINC06015011,-8.35,decoy,crystal
ZINC12582903,-8.57,decoy,crystal
ZINC14093544,-7.73,decoy,crystal
ZINC44713687,-9.38,decoy,crystal
ZINC29426697,-8.86,decoy,crystal
ZINC09067043,-9.71,decoy,crystal
ZINC23762963,-8.04,decoy,crystal
ZINC04629522,-8.3,decoy,crystal
ZINC39770257,-9.67,decoy,crystal
ZINC08846804,-7.45,decoy,crystal
ZINC63139770,-9.28,decoy,crystal
ZINC16572364,-9.73,decoy,crystal
ZINC39687049,-8.79,decoy,crystal
ZINC54233086,-8.37,decoy,crystal
ZINC62521639,-8.06,decoy,crystal
ZINC04236617,-9.29,decoy,crystal
ZINC35087259,-6.98,decoy,crystal
ZINC06674696,-9.01,decoy,crystal
ZINC59017020,-8.19,decoy,crystal
ZINC21259055,-9.13,decoy,crystal
ZINC09109633,-10.28,decoy,crystal
ZINC67271765,-8.0,decoy,crystal
ZINC66205464,-8.44,decoy,crystal
ZINC20175709,-10.27,decoy,crystal
ZINC49597445,-8.68,decoy,crystal
ZINC63572371,-10.12,decoy,crystal
ZINC67536834,-8.5,decoy,crystal
ZINC65301217,-8.55,decoy,crystal
ZINC26115361,-10.01,decoy,crystal
ZINC45591577,-8.41,decoy,crystal
ZINC67393449,-8.25,decoy,crystal
ZINC39673644,-8.91,decoy,crystal
ZINC06859815,-8.08,decoy,crystal
ZINC49071413,-10.67,decoy,crystal
ZINC01821983,-10.13,decoy,crystal
ZINC01381887,-11.18,decoy,crystal
ZINC09504853,-10.23,decoy,crystal
ZINC41075109,-6.37,decoy,crystal
ZINC39914836,-10.0,decoy,crystal
ZINC13510640,-10.61,decoy,crystal
ZINC61175367,-9.19,decoy,crystal
ZINC06859060,-9.43,decoy,crystal
ZINC26781436,-8.26,decoy,crystal
ZINC39710318,-7.52,decoy,crystal
