Ligand,Energy,Label,Best_Receptor
ZINC12550493,-7.46,decoy,crystal
ZINC06520938,-8.21,decoy,crystal
ZINC37745160,-7.05,decoy,crystal
ZINC06194957,-8.17,decoy,crystal
ZINC58439316,-8.65,decoy,crystal
ZINC58481607,-9.88,decoy,crystal
CHEMBL109981,-9.45,active,crystal
ZINC49061173,-7.44,decoy,crystal
ZINC36227128,-7.25,decoy,crystal
ZINC64636563,-8.09,decoy,crystal
ZINC63828019,-9.01,decoy,crystal
ZINC12330243,-8.89,decoy,crystal
ZINC14654951,-7.99,decoy,crystal
ZINC19838336,-7.94,decoy,crystal
ZINC15980332,-8.19,decoy,crystal
ZINC34783373,-8.39,decoy,crystal
ZINC66595390,-7.13,decoy,crystal
ZINC42731149,-6.11,decoy,crystal
ZINC04485098,-9.95,decoy,crystal
ZINC43660012,-7.27,decoy,crystal
ZINC04030514,-10.47,decoy,crystal
ZINC57004054,-8.28,decoy,crystal
ZINC39674034,-9.42,decoy,crystal
ZINC49964572,-6.57,decoy,crystal
ZINC65181826,-8.84,decoy,crystal
ZINC64959816,-7.75,decoy,crystal
ZINC23751670,-9.12,decoy,crystal
ZINC14323279,-7.24,decoy,crystal
ZINC04289824,-6.49,decoy,crystal
ZINC35368344,-6.55,decoy,crystal
ZINC02073610,-8.21,decoy,crystal
ZINC40793786,-7.86,decoy,crystal
ZINC05179063,-6.34,decoy,crystal
ZINC53112319,-7.26,decoy,crystal
ZINC24140376,-9.25,decoy,crystal
ZINC39159680,-8.92,decoy,crystal
ZINC48575939,-7.31,decoy,crystal
ZINC38741730,-8.17,decoy,crystal
ZINC24172097,-9.29,decoy,crystal
ZINC33343267,-8.97,decoy,crystal
ZINC66642459,-8.22,decoy,crystal
ZINC13098087,-10.71,decoy,crystal
ZINC09548115,-9.24,decoy,crystal
ZINC35578378,-8.64,decoy,crystal
ZINC35558266,-9.41,decoy,crystal
ZINC61551691,-8.53,decoy,crystal
ZINC00876875,-7.28,decoy,crystal
ZINC46993671,-6.83,decoy,crystal
ZINC38598360,-7.13,decoy,crystal
ZINC39672309,-10.18,decoy,crystal
ZINC64870834,-9.85,decoy,crystal
ZINC60340131,-9.63,decoy,crystal
ZINC66426826,-7.27,decoy,crystal
ZINC63679641,-9.13,decoy,crystal
ZINC00822990,-5.88,decoy,crystal
ZINC43194856,-9.44,decoy,crystal
ZINC37802644,-6.57,decoy,crystal
ZINC64227822,-9.01,decoy,crystal
ZINC52811520,-6.6,decoy,crystal
ZINC04710287,-8.25,decoy,crystal
ZINC19755031,-7.81,decoy,crystal
ZINC18525268,-6.87,decoy,crystal
ZINC43114719,-5.62,decoy,crystal
ZINC38517840,-8.45,decoy,crystal
ZINC51118065,-7.26,decoy,crystal
ZINC36597702,-8.38,decoy,crystal
ZINC65523061,-8.5,decoy,crystal
ZINC03516769,-8.18,decoy,crystal
ZINC61958329,-9.46,decoy,crystal
ZINC00255115,-7.37,decoy,crystal
ZINC04889908,-7.58,decoy,crystal
ZINC61844575,-6.8,decoy,crystal
ZINC63541379,-9.38,decoy,crystal
ZINC37997430,-6.27,decoy,crystal
ZINC06016046,-9.32,decoy,crystal
ZINC36696887,-7.67,decoy,crystal
ZINC54472117,-7.02,decoy,crystal
ZINC12309333,-7.98,decoy,crystal
ZINC49146923,-6.84,decoy,crystal
ZINC45922512,-6.56,decoy,crystal
