Ligand,Energy,Label,Best_Receptor
ZINC67304179,-8.4,decoy,crystal
ZINC02129797,-7.41,decoy,crystal
ZINC34762197,-7.3,decoy,crystal
ZINC40844720,-9.49,decoy,crystal
ZINC21246640,-9.14,decoy,crystal
ZINC04787506,-8.25,decoy,crystal
ZINC35635957,-8.82,decoy,crystal
ZINC29811191,-8.05,decoy,crystal
ZINC38183603,-9.91,decoy,crystal
ZINC35833062,-7.38,decoy,crystal
ZINC67082697,-6.7,decoy,crystal
ZINC02530057,-9.54,decoy,crystal
ZINC03373493,-9.07,decoy,crystal
ZINC22874248,-8.0,decoy,crystal
ZINC01374278,-10.08,decoy,crystal
ZINC01094555,-8.46,decoy,crystal
ZINC01569761,-8.98,decoy,crystal
ZINC62674055,-8.63,decoy,crystal
ZINC01951747,-6.74,decoy,crystal
ZINC03298376,-8.57,decoy,crystal
ZINC31056684,-9.54,decoy,crystal
ZINC10274413,-7.21,decoy,crystal
ZINC13311556,-9.19,decoy,crystal
ZINC12504443,-8.06,decoy,crystal
ZINC39670617,-6.82,decoy,crystal
ZINC07682189,-6.53,decoy,crystal
ZINC39689218,-8.26,decoy,crystal
ZINC32428458,-8.73,decoy,crystal
ZINC48391449,-7.5,decoy,crystal
ZINC19910414,-8.89,decoy,crystal
ZINC09379512,-9.43,decoy,crystal
ZINC24709871,-8.51,decoy,crystal
ZINC12780348,-9.67,decoy,crystal
ZINC04702959,-7.56,decoy,crystal
ZINC38652029,-8.22,decoy,crystal
ZINC64670842,-7.97,decoy,crystal
ZINC40760734,-6.71,decoy,crystal
ZINC33522762,-9.97,decoy,crystal
ZINC09365802,-9.09,decoy,crystal
ZINC09329935,-7.5,decoy,crystal
ZINC04663853,-5.61,decoy,crystal
ZINC64373064,-8.59,decoy,crystal
ZINC39709842,-7.71,decoy,crystal
ZINC66436657,-8.78,decoy,crystal
ZINC28923202,-8.63,decoy,crystal
ZINC09960702,-10.06,decoy,crystal
ZINC36889912,-8.12,decoy,crystal
ZINC12558709,-7.61,decoy,crystal
ZINC38742089,-9.36,decoy,crystal
ZINC09085872,-7.71,decoy,crystal
ZINC44593622,-8.81,decoy,crystal
ZINC09410821,-8.16,decoy,crystal
ZINC56918794,-9.89,decoy,crystal
ZINC40734814,-7.97,decoy,crystal
ZINC35464832,-8.26,decoy,crystal
ZINC03528768,-10.27,decoy,crystal
ZINC19916048,-7.4,decoy,crystal
ZINC63318892,-8.08,decoy,crystal
ZINC65181561,-7.37,decoy,crystal
ZINC66244884,-6.44,decoy,crystal
ZINC63785621,-9.08,decoy,crystal
ZINC35683877,-9.18,decoy,crystal
ZINC13032800,-9.18,decoy,crystal
ZINC61442714,-7.54,decoy,crystal
ZINC01152732,-8.48,decoy,crystal
ZINC12073511,-6.87,decoy,crystal
ZINC36206640,-9.05,decoy,crystal
ZINC06623917,-9.52,decoy,crystal
ZINC20701826,-7.97,decoy,crystal
ZINC09600059,-9.94,decoy,crystal
ZINC04684686,-7.2,decoy,crystal
ZINC39596101,-7.38,decoy,crystal
ZINC12466970,-6.29,decoy,crystal
ZINC60429202,-8.49,decoy,crystal
ZINC65920897,-9.27,decoy,crystal
ZINC39691326,-9.44,decoy,crystal
ZINC00034332,-8.49,decoy,crystal
ZINC03670933,-9.53,decoy,crystal
ZINC66610970,-8.16,decoy,crystal
ZINC03292702,-9.88,decoy,crystal
ZINC32400869,-8.34,decoy,crystal
ZINC37868156,-10.09,decoy,crystal
ZINC55647439,-7.94,decoy,crystal
ZINC39505215,-7.99,decoy,crystal
ZINC13116973,-8.46,decoy,crystal
ZINC09283036,-7.73,decoy,crystal
ZINC10013814,-9.49,decoy,crystal
ZINC14742603,-9.56,decoy,crystal
ZINC30602905,-11.06,decoy,crystal
ZINC57996812,-8.17,decoy,crystal
ZINC39684621,-7.42,decoy,crystal
ZINC04736620,-8.02,decoy,crystal
ZINC61957792,-6.87,decoy,crystal
ZINC64719756,-8.34,decoy,crystal
ZINC39665430,-8.07,decoy,crystal
ZINC15319714,-7.13,decoy,crystal
ZINC19962473,-10.43,decoy,crystal
ZINC29481150,-8.87,decoy,crystal
ZINC40761125,-8.61,decoy,crystal
ZINC20764244,-6.78,decoy,crystal
ZINC20803728,-8.72,decoy,crystal
ZINC01898068,-8.87,decoy,crystal
ZINC59170779,-7.19,decoy,crystal
ZINC27143456,-9.8,decoy,crystal
ZINC08817898,-10.4,decoy,crystal
ZINC27093486,-7.17,decoy,crystal
ZINC37228465,-8.53,decoy,crystal
ZINC20558265,-7.7,decoy,crystal
ZINC00434807,-8.13,decoy,crystal
ZINC32644040,-8.01,decoy,crystal
