Ligand,Energy,Label,Best_Receptor
ZINC24105486,-9.32,decoy,crystal
ZINC54390383,-8.9,decoy,crystal
ZINC03145793,-11.3,decoy,crystal
ZINC25394170,-10.34,decoy,crystal
ZINC66276053,-7.39,decoy,crystal
ZINC02290269,-7.5,decoy,crystal
ZINC39669089,-9.9,decoy,crystal
ZINC20080539,-9.22,decoy,crystal
ZINC39142934,-9.61,decoy,crystal
ZINC20877125,-8.7,decoy,crystal
ZINC63259006,-10.18,decoy,crystal
ZINC38650659,-10.37,decoy,crystal
ZINC34791497,-8.53,decoy,crystal
ZINC64218781,-9.63,decoy,crystal
ZINC15870313,-10.36,decoy,crystal
CHEMBL939,-9.59,active,crystal
ZINC37152001,-7.77,decoy,crystal
ZINC19524066,-8.13,decoy,crystal
ZINC39636591,-9.19,decoy,crystal
ZINC05792490,-11.27,decoy,crystal
ZINC39965060,-11.85,decoy,crystal
ZINC12547644,-9.84,decoy,crystal
ZINC01372523,-9.68,decoy,crystal
ZINC33113692,-9.8,decoy,crystal
ZINC55332853,-8.1,decoy,crystal
ZINC06834613,-9.57,decoy,crystal
ZINC02939108,-8.46,decoy,crystal
ZINC02140430,-9.51,decoy,crystal
ZINC05167292,-10.89,decoy,crystal
ZINC00033314,-8.87,decoy,crystal
ZINC37359525,-8.38,decoy,crystal
ZINC35844989,-8.43,decoy,crystal
ZINC37424611,-8.54,decoy,crystal
ZINC54558565,-7.01,decoy,crystal
ZINC35795645,-6.87,decoy,crystal
ZINC39453456,-8.76,decoy,crystal
ZINC12493363,-9.14,decoy,crystal
ZINC05366809,-7.55,decoy,crystal
ZINC39852712,-10.95,decoy,crystal
ZINC09712285,-10.55,decoy,crystal
ZINC36063977,-10.7,decoy,crystal
ZINC21878077,-10.27,decoy,crystal
ZINC36798607,-9.53,decoy,crystal
ZINC40801550,-9.43,decoy,crystal
ZINC25589298,-10.06,decoy,crystal
ZINC66365986,-10.13,decoy,crystal
ZINC34761020,-8.67,decoy,crystal
ZINC39517992,-11.61,decoy,crystal
ZINC59384387,-9.47,decoy,crystal
ZINC05167812,-9.08,decoy,crystal
ZINC39063818,-5.53,decoy,crystal
ZINC39533248,-8.58,decoy,crystal
ZINC13715844,-9.18,decoy,crystal
ZINC53457964,-7.53,decoy,crystal
ZINC06195688,-10.02,decoy,crystal
ZINC10247876,-10.75,decoy,crystal
ZINC12636858,-9.51,decoy,crystal
ZINC02250782,-8.58,decoy,crystal
ZINC35694141,-8.01,decoy,crystal
ZINC16256142,-10.1,decoy,crystal
ZINC61692623,-6.93,decoy,crystal
ZINC39666001,-10.31,decoy,crystal
ZINC00931130,-10.53,decoy,crystal
ZINC36629352,-8.56,decoy,crystal
ZINC39635901,-8.78,decoy,crystal
ZINC34762221,-9.29,decoy,crystal
ZINC21564607,-11.35,decoy,crystal
ZINC38740483,-10.05,decoy,crystal
ZINC17196436,-8.9,decoy,crystal
ZINC35778007,-9.58,decoy,crystal
ZINC07298541,-8.63,decoy,crystal
ZINC14244365,-10.69,decoy,crystal
ZINC44657271,-10.24,decoy,crystal
ZINC39753277,-6.85,decoy,crystal
ZINC39666245,-9.82,decoy,crystal
ZINC36032824,-9.21,decoy,crystal
ZINC36252649,-8.57,decoy,crystal
ZINC27744688,-10.11,decoy,crystal
ZINC39455818,-8.89,decoy,crystal
ZINC36029728,-8.91,decoy,crystal
ZINC36283109,-6.9,decoy,crystal
ZINC39597930,-12.16,decoy,crystal
ZINC59005654,-9.32,decoy,crystal
ZINC08432441,-8.11,decoy,crystal
ZINC45924979,-9.31,decoy,crystal
ZINC32642402,-8.08,decoy,crystal
ZINC01873070,-12.51,decoy,crystal
ZINC21203729,-9.48,decoy,crystal
ZINC39668272,-9.67,decoy,crystal
ZINC64178637,-9.47,decoy,crystal
ZINC16476743,-7.61,decoy,crystal
ZINC05659857,-8.05,decoy,crystal
ZINC38620949,-10.49,decoy,crystal
