Ligand,Energy,Label,Best_Receptor
ZINC12342505,-8.23,decoy,crystal
ZINC67602948,-7.51,decoy,crystal
ZINC07748265,-9.1,decoy,crystal
ZINC02344757,-9.17,decoy,crystal
ZINC48207718,-8.09,decoy,crystal
ZINC01132423,-8.54,decoy,crystal
ZINC63375679,-9.17,decoy,crystal
ZINC21823861,-9.97,decoy,crystal
ZINC05538366,-8.37,decoy,crystal
ZINC39618736,-7.2,decoy,crystal
ZINC20347748,-9.33,decoy,crystal
ZINC40320749,-8.98,decoy,crystal
ZINC21655351,-9.28,decoy,crystal
ZINC46841841,-7.8,decoy,crystal
ZINC16788382,-9.61,decoy,crystal
ZINC58434317,-8.5,decoy,crystal
ZINC06133693,-9.0,decoy,crystal
ZINC66248228,-9.04,decoy,crystal
ZINC09124515,-9.13,decoy,crystal
ZINC40896661,-11.07,decoy,crystal
ZINC08677370,-9.39,decoy,crystal
ZINC35641435,-8.62,decoy,crystal
ZINC06194636,-9.91,decoy,crystal
ZINC36558988,-8.81,decoy,crystal
ZINC13153532,-9.54,decoy,crystal
ZINC36633775,-10.36,decoy,crystal
ZINC04339009,-8.62,decoy,crystal
ZINC32803558,-9.08,decoy,crystal
ZINC21257135,-8.53,decoy,crystal
ZINC03402534,-8.99,decoy,crystal
ZINC36608733,-8.11,decoy,crystal
ZINC00704234,-8.36,decoy,crystal
ZINC55242783,-9.49,decoy,crystal
ZINC58146850,-9.77,decoy,crystal
ZINC16861030,-9.85,decoy,crystal
ZINC22700745,-8.26,decoy,crystal
ZINC32945357,-9.64,decoy,crystal
ZINC07602485,-8.16,decoy,crystal
ZINC39227706,-7.62,decoy,crystal
ZINC39960777,-9.98,decoy,crystal
ZINC15857424,-10.11,decoy,crystal
ZINC19190280,-9.72,decoy,crystal
ZINC06211309,-8.57,decoy,crystal
ZINC09638951,-8.6,decoy,crystal
ZINC66190264,-7.54,decoy,crystal
ZINC66930135,-9.16,decoy,crystal
ZINC13212182,-10.89,decoy,crystal
ZINC64024376,-9.65,decoy,crystal
ZINC21172279,-9.08,decoy,crystal
ZINC12780161,-9.64,decoy,crystal
ZINC39670339,-9.56,decoy,crystal
ZINC39676292,-10.58,decoy,crystal
ZINC35303095,-8.78,decoy,crystal
ZINC38959983,-10.61,decoy,crystal
ZINC32072078,-8.08,decoy,crystal
ZINC13505663,-9.23,decoy,crystal
ZINC16633236,-9.34,decoy,crystal
ZINC09404775,-8.15,decoy,crystal
CHEMBL379655,-8.26,active,crystal
ZINC33687655,-7.52,decoy,crystal
ZINC48572516,-9.65,decoy,crystal
ZINC11427077,-9.82,decoy,crystal
ZINC39695729,-9.07,decoy,crystal
ZINC40953225,-8.17,decoy,crystal
ZINC65642473,-8.81,decoy,crystal
ZINC62587285,-7.94,decoy,crystal
ZINC39546662,-8.92,decoy,crystal
ZINC67280060,-8.41,decoy,crystal
ZINC21408837,-7.89,decoy,crystal
ZINC08635740,-8.71,decoy,crystal
ZINC63269469,-7.93,decoy,crystal
ZINC63279466,-9.37,decoy,crystal
ZINC33897415,-8.38,decoy,crystal
ZINC39556106,-10.53,decoy,crystal
ZINC41154504,-9.17,decoy,crystal
ZINC04475181,-9.65,decoy,crystal
ZINC15923900,-8.01,decoy,crystal
ZINC09633469,-9.04,decoy,crystal
ZINC12080327,-10.82,decoy,crystal
ZINC03451725,-9.24,decoy,crystal
ZINC48958101,-8.35,decoy,crystal
ZINC16867122,-8.97,decoy,crystal
ZINC28053275,-8.71,decoy,crystal
ZINC54805200,-7.04,decoy,crystal
ZINC64120567,-9.12,decoy,crystal
ZINC06546234,-8.51,decoy,crystal
ZINC04689069,-7.18,decoy,crystal
ZINC06410049,-9.02,decoy,crystal
ZINC59322125,-7.78,decoy,crystal
ZINC11028802,-9.2,decoy,crystal
ZINC12825302,-8.55,decoy,crystal
ZINC16695432,-9.11,decoy,crystal
ZINC25742454,-9.6,decoy,crystal
ZINC04736074,-9.25,decoy,crystal
ZINC30995153,-8.88,decoy,crystal
ZINC09507947,-9.51,decoy,crystal
ZINC35959175,-9.16,decoy,crystal
ZINC18353103,-7.99,decoy,crystal
ZINC14232549,-8.21,decoy,crystal
ZINC09135772,-9.32,decoy,crystal
ZINC23593110,-9.74,decoy,crystal
ZINC39965961,-9.33,decoy,crystal
ZINC41006296,-9.34,decoy,crystal
ZINC05358772,-9.15,decoy,crystal
ZINC67452909,-8.76,decoy,crystal
ZINC16345608,-8.18,decoy,crystal
ZINC09848907,-9.21,decoy,crystal
ZINC27850212,-8.81,decoy,crystal
ZINC59015772,-9.82,decoy,crystal
ZINC09630783,-10.26,decoy,crystal
ZINC67234403,-7.51,decoy,crystal
ZINC14719923,-8.03,decoy,crystal
ZINC64098170,-9.31,decoy,crystal
ZINC35354266,-11.44,decoy,crystal
ZINC38556252,-8.52,decoy,crystal
ZINC16565192,-9.27,decoy,crystal
ZINC63502671,-8.62,decoy,crystal
ZINC16311296,-9.2,decoy,crystal
ZINC46645382,-10.52,decoy,crystal
ZINC16926345,-9.21,decoy,crystal
ZINC04186744,-8.13,decoy,crystal
ZINC36807511,-8.75,decoy,crystal
ZINC59464023,-10.07,decoy,crystal
ZINC02915262,-8.81,decoy,crystal
ZINC36156026,-10.07,decoy,crystal
ZINC02156372,-7.08,decoy,crystal
ZINC58614324,-9.37,decoy,crystal
ZINC07669794,-8.48,decoy,crystal
ZINC62503133,-8.47,decoy,crystal
ZINC10013316,-8.64,decoy,crystal
ZINC24835046,-8.49,decoy,crystal
ZINC63547121,-9.21,decoy,crystal
ZINC34108124,-6.99,decoy,crystal
ZINC39470427,-9.58,decoy,crystal
ZINC39685875,-8.85,decoy,crystal
ZINC16267133,-9.68,decoy,crystal
ZINC01191159,-9.6,decoy,crystal
ZINC07437127,-8.7,decoy,crystal
ZINC03839961,-8.84,decoy,crystal
ZINC13510584,-9.81,decoy,crystal
ZINC41773543,-8.3,decoy,crystal
ZINC45265024,-7.89,decoy,crystal
ZINC44713595,-11.32,decoy,crystal
ZINC09819989,-9.01,decoy,crystal
ZINC17850666,-9.06,decoy,crystal
ZINC05545985,-9.66,decoy,crystal
ZINC09821037,-9.22,decoy,crystal
ZINC39911560,-9.93,decoy,crystal
ZINC12867692,-8.85,decoy,crystal
ZINC63835193,-7.81,decoy,crystal
CHEMBL208734,-8.19,active,crystal
ZINC04500690,-7.45,decoy,crystal
ZINC17707166,-10.08,decoy,crystal
ZINC67015902,-8.27,decoy,crystal
ZINC04742751,-7.43,decoy,crystal
ZINC65193534,-8.45,decoy,crystal
ZINC40178483,-8.98,decoy,crystal
ZINC35747383,-7.76,decoy,crystal
ZINC35746773,-9.51,decoy,crystal
ZINC39933393,-9.98,decoy,crystal
ZINC12658609,-7.82,decoy,crystal
ZINC36220542,-9.68,decoy,crystal
ZINC13388019,-8.65,decoy,crystal
ZINC39379326,-9.31,decoy,crystal
ZINC29238860,-9.27,decoy,crystal
ZINC36539330,-9.91,decoy,crystal
ZINC13206344,-9.34,decoy,crystal
ZINC09562703,-10.34,decoy,crystal
ZINC05758957,-10.85,decoy,crystal
ZINC22018650,-7.72,decoy,crystal
ZINC38596992,-7.9,decoy,crystal
ZINC09505360,-8.5,decoy,crystal
ZINC38666725,-9.52,decoy,crystal
CHEMBL459729,-9.38,active,crystal
ZINC12376885,-9.58,decoy,crystal
CHEMBL383006,-8.23,active,crystal
ZINC64581337,-9.76,decoy,crystal
ZINC16739651,-9.1,decoy,crystal
ZINC67543244,-7.6,decoy,crystal
ZINC14779803,-8.41,decoy,crystal
ZINC15276133,-8.28,decoy,crystal
ZINC32743525,-10.21,decoy,crystal
ZINC28907729,-8.44,decoy,crystal
ZINC16604584,-8.9,decoy,crystal
ZINC07683276,-8.06,decoy,crystal
ZINC09457822,-8.13,decoy,crystal
ZINC08624138,-8.99,decoy,crystal
ZINC23535769,-8.97,decoy,crystal
CHEMBL207084,-9.48,active,crystal
ZINC06209822,-8.88,decoy,crystal
ZINC16904338,-7.97,decoy,crystal
CHEMBL209044,-9.55,active,crystal
ZINC20394281,-8.4,decoy,crystal
ZINC04949229,-8.2,decoy,crystal
ZINC39631779,-9.65,decoy,crystal
ZINC12941307,-8.67,decoy,crystal
ZINC25048750,-9.36,decoy,crystal
ZINC13396993,-9.41,decoy,crystal
ZINC10051077,-8.63,decoy,crystal
ZINC03412357,-9.9,decoy,crystal
ZINC63316291,-8.26,decoy,crystal
ZINC36067044,-8.99,decoy,crystal
ZINC08852664,-9.27,decoy,crystal
ZINC12244920,-8.37,decoy,crystal
ZINC35806647,-9.62,decoy,crystal
ZINC23280306,-8.19,decoy,crystal
ZINC66756172,-8.62,decoy,crystal
ZINC00109091,-7.68,decoy,crystal
ZINC09604375,-10.14,decoy,crystal
ZINC03352876,-9.2,decoy,crystal
ZINC66557061,-7.92,decoy,crystal
ZINC39853934,-8.28,decoy,crystal
ZINC20568345,-10.12,decoy,crystal
ZINC63478868,-9.99,decoy,crystal
ZINC63194356,-10.15,decoy,crystal
ZINC12340344,-9.53,decoy,crystal
ZINC16651112,-9.19,decoy,crystal
ZINC40110691,-9.78,decoy,crystal
ZINC03522107,-9.41,decoy,crystal
ZINC39672130,-9.24,decoy,crystal
ZINC58856921,-8.02,decoy,crystal
ZINC43268596,-9.74,decoy,crystal
ZINC22520724,-8.87,decoy,crystal
ZINC00450361,-9.29,decoy,crystal
ZINC04085559,-8.86,decoy,crystal
ZINC39962555,-9.67,decoy,crystal
ZINC35644333,-8.68,decoy,crystal
ZINC06190196,-9.64,decoy,crystal
ZINC08574718,-10.88,decoy,crystal
ZINC01786188,-9.33,decoy,crystal
ZINC23659394,-10.1,decoy,crystal
ZINC13032170,-10.11,decoy,crystal
ZINC15866419,-8.55,decoy,crystal
ZINC59461844,-9.74,decoy,crystal
ZINC20618094,-9.81,decoy,crystal
ZINC04788981,-7.9,decoy,crystal
ZINC13389409,-8.5,decoy,crystal
ZINC14805693,-9.4,decoy,crystal
ZINC20598392,-8.32,decoy,crystal
ZINC59513421,-8.79,decoy,crystal
ZINC59293230,-8.53,decoy,crystal
ZINC64774636,-10.24,decoy,crystal
ZINC36014207,-9.17,decoy,crystal
ZINC40814551,-9.58,decoy,crystal
ZINC58343763,-9.67,decoy,crystal
ZINC19862842,-10.71,decoy,crystal
ZINC60497858,-7.68,decoy,crystal
ZINC43223260,-8.62,decoy,crystal
ZINC35105671,-8.64,decoy,crystal
ZINC29788827,-9.05,decoy,crystal
ZINC12967695,-9.12,decoy,crystal
ZINC10997172,-10.17,decoy,crystal
ZINC58482231,-7.08,decoy,crystal
ZINC57335242,-8.46,decoy,crystal
ZINC36836611,-9.59,decoy,crystal
ZINC13256237,-9.99,decoy,crystal
ZINC06443812,-9.28,decoy,crystal
ZINC03626002,-9.64,decoy,crystal
ZINC04113186,-9.43,decoy,crystal
ZINC32937787,-8.86,decoy,crystal
ZINC39667002,-8.97,decoy,crystal
ZINC65076187,-9.84,decoy,crystal
ZINC08589391,-9.55,decoy,crystal
ZINC39623007,-9.33,decoy,crystal
ZINC13233736,-7.55,decoy,crystal
ZINC60059114,-9.69,decoy,crystal
ZINC12376137,-9.05,decoy,crystal
ZINC58391595,-7.55,decoy,crystal
ZINC02648355,-7.5,decoy,crystal
ZINC12893700,-8.76,decoy,crystal
ZINC04647282,-9.95,decoy,crystal
ZINC59456558,-10.34,decoy,crystal
ZINC36660259,-9.25,decoy,crystal
ZINC17660607,-10.41,decoy,crystal
ZINC16534126,-9.28,decoy,crystal
ZINC64181838,-9.67,decoy,crystal
ZINC09388829,-9.23,decoy,crystal
ZINC12567330,-8.05,decoy,crystal
CHEMBL379279,-8.15,active,crystal
ZINC09833539,-9.66,decoy,crystal
ZINC15175562,-9.5,decoy,crystal
ZINC48555115,-9.31,decoy,crystal
ZINC39685223,-9.12,decoy,crystal
ZINC09589460,-9.24,decoy,crystal
ZINC61477934,-7.75,decoy,crystal
ZINC04998111,-9.86,decoy,crystal
ZINC07157658,-8.28,decoy,crystal
ZINC15577320,-7.8,decoy,crystal
ZINC02968114,-11.13,decoy,crystal
ZINC50934098,-7.96,decoy,crystal
ZINC39534145,-8.57,decoy,crystal
ZINC09419703,-8.7,decoy,crystal
ZINC49184366,-7.03,decoy,crystal
ZINC66698153,-8.88,decoy,crystal
ZINC14034045,-8.42,decoy,crystal
ZINC39007108,-8.08,decoy,crystal
ZINC23383996,-8.58,decoy,crystal
ZINC01765213,-8.85,decoy,crystal
ZINC12801243,-8.55,decoy,crystal
ZINC65919187,-9.2,decoy,crystal
ZINC09641494,-8.84,decoy,crystal
ZINC60132827,-8.44,decoy,crystal
CHEMBL383672,-8.41,active,crystal
ZINC35893049,-8.29,decoy,crystal
ZINC39707970,-9.99,decoy,crystal
ZINC13154117,-8.78,decoy,crystal
ZINC08813581,-10.43,decoy,crystal
ZINC41076913,-9.23,decoy,crystal
ZINC36587052,-8.23,decoy,crystal
ZINC16738946,-8.15,decoy,crystal
ZINC66445268,-6.89,decoy,crystal
ZINC41021622,-9.18,decoy,crystal
ZINC08992170,-8.99,decoy,crystal
ZINC20973188,-10.11,decoy,crystal
ZINC12554371,-10.2,decoy,crystal
ZINC36494707,-9.61,decoy,crystal
ZINC39574006,-9.25,decoy,crystal
ZINC19351030,-8.52,decoy,crystal
ZINC14056530,-9.08,decoy,crystal
ZINC19130137,-8.22,decoy,crystal
ZINC15044537,-9.15,decoy,crystal
ZINC13073915,-9.04,decoy,crystal
ZINC16382228,-8.11,decoy,crystal
ZINC11528048,-8.92,decoy,crystal
ZINC59419195,-8.36,decoy,crystal
ZINC08908701,-10.93,decoy,crystal
ZINC35829410,-9.12,decoy,crystal
ZINC40657991,-8.26,decoy,crystal
ZINC65002241,-8.25,decoy,crystal
ZINC12722794,-8.81,decoy,crystal
CHEMBL380424,-8.46,active,crystal
ZINC43528212,-10.36,decoy,crystal
ZINC20167950,-7.25,decoy,crystal
ZINC05413770,-9.28,decoy,crystal
ZINC64009076,-10.94,decoy,crystal
ZINC39853981,-8.53,decoy,crystal
ZINC62998175,-7.28,decoy,crystal
ZINC09315938,-8.78,decoy,crystal
ZINC09348647,-8.65,decoy,crystal
ZINC07464438,-7.5,decoy,crystal
ZINC13126093,-9.59,decoy,crystal
ZINC35268084,-9.84,decoy,crystal
ZINC03373268,-9.94,decoy,crystal
ZINC13263948,-9.75,decoy,crystal
ZINC39989392,-7.27,decoy,crystal
ZINC12984802,-9.25,decoy,crystal
ZINC10210879,-9.35,decoy,crystal
ZINC63869256,-8.12,decoy,crystal
ZINC58099442,-7.45,decoy,crystal
ZINC43219065,-9.22,decoy,crystal
ZINC45538354,-9.29,decoy,crystal
ZINC15234949,-8.41,decoy,crystal
ZINC39597912,-10.98,decoy,crystal
ZINC39752608,-8.71,decoy,crystal
ZINC20287434,-10.68,decoy,crystal
ZINC22043249,-8.86,decoy,crystal
ZINC23339638,-9.23,decoy,crystal
ZINC39691213,-10.37,decoy,crystal
ZINC13766228,-10.38,decoy,crystal
ZINC36822386,-9.32,decoy,crystal
ZINC65727352,-8.52,decoy,crystal
ZINC37255942,-8.54,decoy,crystal
ZINC66177772,-7.04,decoy,crystal
ZINC04235485,-7.99,decoy,crystal
ZINC09185669,-9.44,decoy,crystal
ZINC59212999,-9.67,decoy,crystal
ZINC13051086,-10.75,decoy,crystal
ZINC65988673,-8.33,decoy,crystal
ZINC06409680,-10.24,decoy,crystal
ZINC63503445,-8.45,decoy,crystal
ZINC13115933,-7.52,decoy,crystal
ZINC15558735,-9.34,decoy,crystal
ZINC13502489,-10.23,decoy,crystal
ZINC39404750,-6.76,decoy,crystal
ZINC51705487,-8.25,decoy,crystal
ZINC15127354,-8.71,decoy,crystal
ZINC63513798,-10.43,decoy,crystal
ZINC23015058,-8.85,decoy,crystal
ZINC33762257,-8.56,decoy,crystal
ZINC00687061,-8.63,decoy,crystal
ZINC05409198,-7.38,decoy,crystal
ZINC27228135,-9.64,decoy,crystal
ZINC47534292,-8.23,decoy,crystal
ZINC08774006,-9.84,decoy,crystal
ZINC14461033,-8.53,decoy,crystal
ZINC22893607,-10.0,decoy,crystal
ZINC04039687,-7.2,decoy,crystal
ZINC18385963,-8.96,decoy,crystal
ZINC19105057,-8.89,decoy,crystal
ZINC03224913,-9.68,decoy,crystal
ZINC12786634,-9.94,decoy,crystal
CHEMBL487246,-10.76,active,crystal
ZINC38337204,-9.09,decoy,crystal
ZINC39635392,-9.07,decoy,crystal
ZINC11868826,-9.14,decoy,crystal
ZINC61537625,-7.01,decoy,crystal
ZINC29744198,-9.35,decoy,crystal
ZINC01042776,-7.94,decoy,crystal
ZINC20258486,-7.98,decoy,crystal
ZINC40824403,-8.36,decoy,crystal
ZINC67469389,-9.36,decoy,crystal
CHEMBL475817,-8.24,active,crystal
ZINC10041340,-9.34,decoy,crystal
ZINC51267628,-9.51,decoy,crystal
ZINC19531804,-8.49,decoy,crystal
ZINC08711321,-9.09,decoy,crystal
ZINC12723604,-9.45,decoy,crystal
ZINC15277991,-9.43,decoy,crystal
ZINC16050443,-9.09,decoy,crystal
ZINC21615135,-10.14,decoy,crystal
ZINC12191634,-7.94,decoy,crystal
ZINC20533740,-9.17,decoy,crystal
ZINC64006917,-8.63,decoy,crystal
ZINC20083900,-9.74,decoy,crystal
ZINC33317504,-8.14,decoy,crystal
ZINC59294002,-9.36,decoy,crystal
