Ligand,Energy,Label,Best_Receptor
ZINC19561674,-7.96,decoy,crystal
ZINC20911398,-8.23,decoy,crystal
ZINC38799252,-6.8,decoy,crystal
ZINC39912237,-8.36,decoy,crystal
ZINC39657185,-10.27,decoy,crystal
ZINC59842824,-7.04,decoy,crystal
ZINC65135398,-7.59,decoy,crystal
ZINC63383819,-10.85,decoy,crystal
ZINC02946022,-9.26,decoy,crystal
ZINC12224638,-7.81,decoy,crystal
ZINC04635154,-8.62,decoy,crystal
ZINC33597648,-8.38,decoy,crystal
ZINC27829249,-10.01,decoy,crystal
ZINC12989101,-8.68,decoy,crystal
ZINC01436379,-8.8,decoy,crystal
ZINC09949537,-8.29,decoy,crystal
ZINC64409696,-9.48,decoy,crystal
ZINC15947263,-9.36,decoy,crystal
ZINC35486733,-8.12,decoy,crystal
ZINC06191671,-10.04,decoy,crystal
ZINC01859533,-8.44,decoy,crystal
ZINC19899426,-8.31,decoy,crystal
ZINC39532135,-10.16,decoy,crystal
ZINC39654368,-8.89,decoy,crystal
ZINC39640422,-9.06,decoy,crystal
ZINC15105684,-8.19,decoy,crystal
ZINC10337055,-8.64,decoy,crystal
ZINC46865172,-8.41,decoy,crystal
ZINC36635474,-8.46,decoy,crystal
ZINC45841144,-8.74,decoy,crystal
ZINC33324508,-10.89,decoy,crystal
ZINC11396632,-7.88,decoy,crystal
ZINC39672059,-9.63,decoy,crystal
ZINC39695155,-9.83,decoy,crystal
ZINC04729779,-8.39,decoy,crystal
ZINC21715320,-9.26,decoy,crystal
CHEMBL251732,-10.26,active,crystal
ZINC59170667,-9.01,decoy,crystal
ZINC35166978,-8.31,decoy,crystal
ZINC66120261,-8.41,decoy,crystal
ZINC15221711,-10.05,decoy,crystal
ZINC39531004,-9.37,decoy,crystal
ZINC12339510,-7.54,decoy,crystal
ZINC32841120,-8.24,decoy,crystal
ZINC20152716,-9.95,decoy,crystal
ZINC06149145,-8.96,decoy,crystal
ZINC39671907,-11.68,decoy,crystal
ZINC43218681,-8.8,decoy,crystal
ZINC18045579,-10.85,decoy,crystal
