Ligand,Energy,Label,Best_Receptor
ZINC64507227,-9.75,decoy,crystal
ZINC63229071,-8.74,decoy,crystal
ZINC63279583,-8.69,decoy,crystal
ZINC67102664,-7.44,decoy,crystal
ZINC36160376,-7.99,decoy,crystal
ZINC39710899,-7.46,decoy,crystal
ZINC62558127,-5.64,decoy,crystal
ZINC39934749,-8.17,decoy,crystal
ZINC05942912,-7.86,decoy,crystal
ZINC13501213,-8.88,decoy,crystal
ZINC27240443,-7.2,decoy,crystal
ZINC20487801,-6.28,decoy,crystal
ZINC49686644,-9.46,decoy,crystal
ZINC02246445,-6.13,decoy,crystal
ZINC34127027,-7.28,decoy,crystal
ZINC63855260,-9.06,decoy,crystal
ZINC36206969,-7.34,decoy,crystal
ZINC20155558,-8.13,decoy,crystal
ZINC39237742,-9.09,decoy,crystal
ZINC40988594,-9.53,decoy,crystal
CHEMBL1092063,-13.33,active,crystal
ZINC08236216,-8.61,decoy,crystal
ZINC02817433,-9.52,decoy,crystal
ZINC34747621,-9.84,decoy,crystal
ZINC09108782,-9.2,decoy,crystal
ZINC04224925,-9.83,decoy,crystal
ZINC64069914,-8.87,decoy,crystal
ZINC40333893,-7.33,decoy,crystal
ZINC05283824,-6.2,decoy,crystal
ZINC14944528,-9.24,decoy,crystal
ZINC35452700,-8.77,decoy,crystal
ZINC22922771,-9.67,decoy,crystal
CHEMBL570192,-7.36,active,crystal
ZINC00820863,-8.55,decoy,crystal
ZINC38814721,-9.4,decoy,crystal
ZINC39636054,-8.17,decoy,crystal
ZINC03537355,-8.61,decoy,crystal
ZINC23551423,-9.26,decoy,crystal
ZINC63755400,-9.43,decoy,crystal
ZINC53523131,-8.31,decoy,crystal
ZINC06884363,-8.04,decoy,crystal
ZINC66641837,-7.66,decoy,crystal
ZINC37769948,-7.01,decoy,crystal
ZINC58110410,-6.81,decoy,crystal
ZINC08271696,-9.07,decoy,crystal
ZINC05886649,-7.5,decoy,crystal
ZINC40860633,-7.69,decoy,crystal
ZINC59595778,-10.38,decoy,crystal
ZINC39369620,-7.74,decoy,crystal
ZINC15349211,-7.9,decoy,crystal
ZINC19840324,-7.83,decoy,crystal
ZINC12006607,-7.78,decoy,crystal
ZINC39354236,-9.31,decoy,crystal
ZINC01463222,-7.54,decoy,crystal
ZINC42484234,-9.89,decoy,crystal
ZINC65536252,-6.4,decoy,crystal
ZINC40312911,-6.88,decoy,crystal
ZINC36625667,-7.59,decoy,crystal
ZINC08215709,-9.61,decoy,crystal
ZINC09915669,-7.3,decoy,crystal
ZINC13516092,-9.05,decoy,crystal
ZINC63083833,-10.3,decoy,crystal
ZINC65305966,-8.31,decoy,crystal
ZINC63666903,-9.94,decoy,crystal
ZINC25852334,-9.34,decoy,crystal
ZINC39006823,-7.6,decoy,crystal
ZINC24774238,-8.89,decoy,crystal
ZINC27099798,-7.88,decoy,crystal
ZINC05343215,-8.02,decoy,crystal
ZINC14737904,-8.97,decoy,crystal
ZINC13639071,-8.65,decoy,crystal
ZINC05485880,-7.96,decoy,crystal
ZINC50986395,-6.55,decoy,crystal
ZINC07177520,-7.98,decoy,crystal
ZINC44167709,-7.98,decoy,crystal
ZINC38597230,-6.94,decoy,crystal
ZINC39265503,-7.64,decoy,crystal
ZINC23550816,-8.95,decoy,crystal
ZINC12363875,-6.13,decoy,crystal
ZINC64040497,-8.67,decoy,crystal
ZINC49467264,-7.78,decoy,crystal
ZINC35851723,-9.02,decoy,crystal
ZINC20323633,-9.15,decoy,crystal
ZINC08379410,-7.41,decoy,crystal
ZINC32072569,-7.2,decoy,crystal
ZINC37865078,-6.81,decoy,crystal
ZINC47463915,-7.13,decoy,crystal
ZINC49477051,-6.96,decoy,crystal
ZINC62496437,-6.8,decoy,crystal
ZINC50996428,-5.72,decoy,crystal
ZINC14456001,-7.22,decoy,crystal
ZINC49779757,-7.57,decoy,crystal
ZINC00808722,-6.59,decoy,crystal
ZINC53114973,-7.36,decoy,crystal
ZINC13221788,-8.99,decoy,crystal
ZINC10153669,-7.75,decoy,crystal
ZINC63712159,-8.53,decoy,crystal
ZINC20779272,-7.85,decoy,crystal
ZINC49304603,-7.07,decoy,crystal
ZINC01323234,-10.15,decoy,crystal
ZINC66817057,-7.45,decoy,crystal
ZINC37278337,-6.93,decoy,crystal
ZINC40802272,-7.41,decoy,crystal
ZINC05992256,-6.9,decoy,crystal
ZINC64518969,-9.5,decoy,crystal
ZINC14562691,-9.21,decoy,crystal
ZINC16660977,-9.1,decoy,crystal
ZINC10098724,-9.35,decoy,crystal
ZINC19626235,-5.63,decoy,crystal
ZINC06993184,-7.99,decoy,crystal
ZINC35512239,-9.25,decoy,crystal
ZINC58387887,-8.61,decoy,crystal
ZINC08453966,-10.03,decoy,crystal
ZINC41651066,-7.12,decoy,crystal
ZINC12664745,-9.62,decoy,crystal
ZINC13203175,-8.01,decoy,crystal
ZINC40568709,-6.29,decoy,crystal
ZINC09638949,-9.51,decoy,crystal
ZINC25186001,-7.51,decoy,crystal
ZINC14162562,-6.99,decoy,crystal
ZINC45799158,-7.98,decoy,crystal
ZINC39699299,-8.9,decoy,crystal
ZINC21577966,-8.5,decoy,crystal
ZINC57844776,-6.56,decoy,crystal
ZINC35966985,-8.35,decoy,crystal
ZINC13701694,-9.35,decoy,crystal
ZINC31157964,-7.8,decoy,crystal
ZINC21597929,-8.61,decoy,crystal
ZINC52098431,-6.26,decoy,crystal
ZINC39674341,-8.53,decoy,crystal
ZINC62805600,-7.0,decoy,crystal
ZINC17660622,-9.46,decoy,crystal
ZINC22988983,-10.1,decoy,crystal
ZINC39666390,-8.55,decoy,crystal
ZINC08724397,-7.74,decoy,crystal
ZINC11855140,-8.21,decoy,crystal
ZINC31810109,-7.08,decoy,crystal
ZINC17241319,-7.3,decoy,crystal
ZINC21847072,-7.44,decoy,crystal
ZINC13088928,-8.23,decoy,crystal
ZINC20206710,-8.55,decoy,crystal
ZINC06532255,-8.49,decoy,crystal
ZINC00076419,-5.54,decoy,crystal
ZINC65181752,-8.55,decoy,crystal
ZINC08877690,-9.83,decoy,crystal
ZINC63111001,-8.94,decoy,crystal
ZINC12790903,-7.81,decoy,crystal
ZINC63478522,-5.9,decoy,crystal
ZINC40545192,-7.03,decoy,crystal
ZINC04915333,-7.43,decoy,crystal
ZINC40120922,-8.06,decoy,crystal
ZINC53736460,-7.08,decoy,crystal
ZINC15181030,-8.73,decoy,crystal
ZINC08986453,-7.19,decoy,crystal
ZINC63592182,-7.09,decoy,crystal
ZINC05619753,-7.99,decoy,crystal
ZINC13192617,-7.6,decoy,crystal
ZINC63873788,-9.34,decoy,crystal
ZINC09581106,-8.06,decoy,crystal
ZINC62779631,-7.28,decoy,crystal
ZINC36849680,-8.29,decoy,crystal
ZINC66908184,-7.39,decoy,crystal
ZINC03208724,-9.0,decoy,crystal
ZINC65237738,-8.16,decoy,crystal
ZINC00805498,-8.75,decoy,crystal
ZINC35515516,-9.03,decoy,crystal
ZINC03505606,-7.79,decoy,crystal
ZINC39889985,-8.02,decoy,crystal
