Ligand,Energy,Label,Best_Receptor
ZINC39652717,-8.18,decoy,crystal
ZINC38779144,-10.49,decoy,crystal
ZINC40733752,-8.54,decoy,crystal
ZINC39469359,-8.0,decoy,crystal
ZINC36637291,-9.02,decoy,crystal
ZINC05106463,-9.34,decoy,crystal
ZINC49937939,-6.56,decoy,crystal
ZINC09670834,-7.45,decoy,crystal
ZINC04125688,-7.33,decoy,crystal
ZINC38701218,-10.52,decoy,crystal
ZINC08781468,-6.72,decoy,crystal
ZINC01410498,-9.29,decoy,crystal
ZINC01033836,-7.52,decoy,crystal
ZINC13321728,-9.39,decoy,crystal
ZINC09130177,-6.46,decoy,crystal
ZINC39561242,-8.75,decoy,crystal
ZINC19454691,-7.32,decoy,crystal
ZINC44561381,-6.16,decoy,crystal
ZINC12347225,-9.97,decoy,crystal
ZINC39441240,-8.67,decoy,crystal
ZINC64032250,-8.03,decoy,crystal
ZINC67266836,-7.82,decoy,crystal
ZINC20291777,-8.61,decoy,crystal
ZINC59378441,-9.66,decoy,crystal
ZINC36156781,-8.02,decoy,crystal
ZINC02492981,-7.76,decoy,crystal
ZINC36645035,-8.29,decoy,crystal
ZINC61888096,-9.13,decoy,crystal
ZINC39412430,-7.84,decoy,crystal
ZINC45061463,-6.18,decoy,crystal
ZINC39637333,-8.95,decoy,crystal
ZINC44982935,-9.31,decoy,crystal
ZINC15659119,-6.58,decoy,crystal
ZINC63384395,-9.15,decoy,crystal
ZINC39655904,-9.61,decoy,crystal
ZINC39711510,-7.73,decoy,crystal
ZINC16760801,-8.12,decoy,crystal
ZINC20968903,-6.63,decoy,crystal
ZINC40144302,-8.82,decoy,crystal
ZINC09156266,-6.9,decoy,crystal
CHEMBL400308,-8.01,active,crystal
ZINC37805433,-7.41,decoy,crystal
ZINC62595581,-7.42,decoy,crystal
ZINC43096472,-5.94,decoy,crystal
ZINC26502742,-9.57,decoy,crystal
ZINC18088027,-7.84,decoy,crystal
ZINC14548539,-6.68,decoy,crystal
ZINC42684718,-7.96,decoy,crystal
ZINC38773498,-7.17,decoy,crystal
ZINC39686608,-8.95,decoy,crystal
ZINC13636722,-6.94,decoy,crystal
ZINC20156100,-5.51,decoy,crystal
ZINC01784089,-9.28,decoy,crystal
ZINC39462216,-8.92,decoy,crystal
ZINC43553899,-6.95,decoy,crystal
ZINC66976334,-8.19,decoy,crystal
ZINC02246604,-5.62,decoy,crystal
ZINC39597760,-9.14,decoy,crystal
ZINC48310196,-9.99,decoy,crystal
ZINC02839620,-8.93,decoy,crystal
ZINC59409111,-8.69,decoy,crystal
ZINC12531939,-9.05,decoy,crystal
ZINC39532632,-8.73,decoy,crystal
ZINC15223455,-8.74,decoy,crystal
ZINC36637344,-9.93,decoy,crystal
ZINC63399430,-9.36,decoy,crystal
ZINC17444942,-9.78,decoy,crystal
ZINC36660391,-8.31,decoy,crystal
ZINC13500180,-9.2,decoy,crystal
ZINC38884182,-9.17,decoy,crystal
ZINC40658408,-8.99,decoy,crystal
ZINC13069814,-8.85,decoy,crystal
ZINC63375079,-6.96,decoy,crystal
ZINC63806840,-10.29,decoy,crystal
ZINC36208000,-7.92,decoy,crystal
ZINC15033868,-9.62,decoy,crystal
ZINC21875143,-10.16,decoy,crystal
ZINC42858712,-7.59,decoy,crystal
ZINC15358498,-9.9,decoy,crystal
ZINC12413064,-9.84,decoy,crystal
ZINC54551062,-7.16,decoy,crystal
ZINC34707141,-8.42,decoy,crystal
ZINC07031529,-8.77,decoy,crystal
ZINC44389477,-7.68,decoy,crystal
ZINC35911752,-9.13,decoy,crystal
ZINC38700541,-10.48,decoy,crystal
CHEMBL572878,-9.69,active,crystal
ZINC40826449,-9.12,decoy,crystal
ZINC40758734,-7.77,decoy,crystal
ZINC63830746,-9.02,decoy,crystal
ZINC67103516,-8.29,decoy,crystal
ZINC39629127,-9.97,decoy,crystal
ZINC64870889,-10.17,decoy,crystal
ZINC35749517,-7.77,decoy,crystal
ZINC09442053,-9.48,decoy,crystal
ZINC39623783,-8.52,decoy,crystal
ZINC36597668,-7.29,decoy,crystal
ZINC58138665,-8.4,decoy,crystal
ZINC20208043,-11.02,decoy,crystal
ZINC40735098,-8.11,decoy,crystal
ZINC09850116,-9.26,decoy,crystal
ZINC39672620,-9.3,decoy,crystal
ZINC31118584,-9.09,decoy,crystal
ZINC35354488,-8.46,decoy,crystal
ZINC58913202,-9.68,decoy,crystal
ZINC48701582,-7.42,decoy,crystal
ZINC24272749,-8.91,decoy,crystal
ZINC12937401,-8.99,decoy,crystal
ZINC16752678,-8.38,decoy,crystal
ZINC63362190,-10.09,decoy,crystal
ZINC37422854,-9.0,decoy,crystal
ZINC24751633,-9.95,decoy,crystal
ZINC44737204,-8.55,decoy,crystal
ZINC05927761,-10.1,decoy,crystal
ZINC40408589,-8.67,decoy,crystal
ZINC10467740,-9.25,decoy,crystal
ZINC20885602,-7.87,decoy,crystal
ZINC39683347,-7.86,decoy,crystal
ZINC11290978,-9.45,decoy,crystal
ZINC12864294,-10.55,decoy,crystal
ZINC01874906,-8.74,decoy,crystal
ZINC14458848,-9.14,decoy,crystal
ZINC14459086,-6.96,decoy,crystal
ZINC15943938,-8.07,decoy,crystal
ZINC36506684,-6.07,decoy,crystal
ZINC12909744,-9.34,decoy,crystal
ZINC53633355,-8.9,decoy,crystal
ZINC39663757,-7.07,decoy,crystal
ZINC47157324,-11.31,decoy,crystal
ZINC12490070,-7.55,decoy,crystal
ZINC06116488,-8.81,decoy,crystal
ZINC60356700,-8.25,decoy,crystal
ZINC43978153,-8.24,decoy,crystal
ZINC40356784,-6.77,decoy,crystal
ZINC65237450,-9.47,decoy,crystal
ZINC58997068,-9.33,decoy,crystal
ZINC35450366,-9.19,decoy,crystal
ZINC01096801,-7.93,decoy,crystal
ZINC35480636,-8.89,decoy,crystal
ZINC19639843,-9.5,decoy,crystal
ZINC46016988,-8.18,decoy,crystal
ZINC39634400,-8.03,decoy,crystal
ZINC36657735,-10.04,decoy,crystal
ZINC36159830,-8.28,decoy,crystal
ZINC02383877,-7.05,decoy,crystal
ZINC13464727,-8.5,decoy,crystal
ZINC16493236,-9.48,decoy,crystal
ZINC35383083,-7.57,decoy,crystal
ZINC41583657,-9.35,decoy,crystal
ZINC39604898,-7.19,decoy,crystal
ZINC39934577,-8.6,decoy,crystal
ZINC13432942,-7.78,decoy,crystal
ZINC12642806,-8.16,decoy,crystal
ZINC35864085,-8.17,decoy,crystal
ZINC02623525,-8.07,decoy,crystal
ZINC22698904,-9.13,decoy,crystal
ZINC63655780,-9.43,decoy,crystal
ZINC40797572,-7.74,decoy,crystal
ZINC39530427,-7.53,decoy,crystal
ZINC35991870,-7.8,decoy,crystal
ZINC24511168,-8.23,decoy,crystal
ZINC58761798,-8.88,decoy,crystal
ZINC21229386,-7.8,decoy,crystal
ZINC39666212,-7.84,decoy,crystal
ZINC01090071,-9.96,decoy,crystal
ZINC63234405,-11.64,decoy,crystal
ZINC08589869,-7.77,decoy,crystal
ZINC39738270,-8.1,decoy,crystal
ZINC18198921,-9.25,decoy,crystal
ZINC10048529,-9.8,decoy,crystal
ZINC64097904,-6.77,decoy,crystal
ZINC15221336,-9.5,decoy,crystal
ZINC40371363,-8.4,decoy,crystal
ZINC02399323,-9.95,decoy,crystal
ZINC22105246,-9.99,decoy,crystal
ZINC03347866,-10.66,decoy,crystal
ZINC36499009,-5.7,decoy,crystal
ZINC63572040,-8.44,decoy,crystal
ZINC39664688,-7.02,decoy,crystal
ZINC36660355,-8.87,decoy,crystal
ZINC35159284,-8.79,decoy,crystal
ZINC27020464,-6.84,decoy,crystal
ZINC13189324,-9.34,decoy,crystal
ZINC63807613,-8.22,decoy,crystal
ZINC49104774,-7.29,decoy,crystal
ZINC09469979,-8.26,decoy,crystal
