Ligand,Energy,Label,Best_Receptor
ZINC10003816,-7.37,decoy,crystal
ZINC38796913,-9.12,decoy,crystal
ZINC59590052,-8.18,decoy,crystal
ZINC39352177,-8.43,decoy,crystal
ZINC36048879,-7.72,decoy,crystal
ZINC64622881,-7.83,decoy,crystal
ZINC57653994,-7.28,decoy,crystal
ZINC40811712,-8.46,decoy,crystal
ZINC03359548,-8.63,decoy,crystal
ZINC33744313,-9.29,decoy,crystal
ZINC23546786,-8.83,decoy,crystal
ZINC67347756,-8.23,decoy,crystal
ZINC32607974,-7.22,decoy,crystal
ZINC59350328,-7.33,decoy,crystal
ZINC11215781,-7.28,decoy,crystal
ZINC05194051,-7.83,decoy,crystal
ZINC39686706,-9.72,decoy,crystal
ZINC01050991,-6.83,decoy,crystal
ZINC04519320,-7.72,decoy,crystal
ZINC39940293,-9.99,decoy,crystal
ZINC02914728,-6.63,decoy,crystal
ZINC39711577,-7.8,decoy,crystal
ZINC64816386,-7.44,decoy,crystal
ZINC20150239,-9.32,decoy,crystal
ZINC13112271,-8.2,decoy,crystal
ZINC13426325,-6.71,decoy,crystal
ZINC04976785,-6.42,decoy,crystal
ZINC09461557,-8.41,decoy,crystal
ZINC33078184,-9.73,decoy,crystal
CHEMBL366266,-9.65,active,crystal
ZINC25186425,-8.71,decoy,crystal
ZINC63362919,-10.05,decoy,crystal
ZINC66373546,-7.7,decoy,crystal
ZINC63351308,-9.04,decoy,crystal
ZINC63806835,-9.7,decoy,crystal
ZINC29104834,-9.59,decoy,crystal
ZINC21902307,-7.02,decoy,crystal
ZINC12299977,-8.38,decoy,crystal
ZINC13959412,-7.96,decoy,crystal
ZINC28958890,-8.08,decoy,crystal
ZINC39881446,-8.7,decoy,crystal
ZINC35454773,-6.24,decoy,crystal
ZINC04225714,-7.78,decoy,crystal
ZINC39364405,-8.38,decoy,crystal
ZINC59170453,-9.38,decoy,crystal
ZINC09057581,-7.81,decoy,crystal
ZINC36527108,-7.12,decoy,crystal
ZINC63479651,-8.54,decoy,crystal
ZINC16556813,-8.67,decoy,crystal
ZINC28261846,-9.16,decoy,crystal
ZINC05891379,-8.38,decoy,crystal
ZINC03012263,-6.48,decoy,crystal
ZINC03438910,-8.74,decoy,crystal
ZINC02387629,-8.66,decoy,crystal
ZINC35108027,-6.02,decoy,crystal
ZINC12384400,-7.99,decoy,crystal
ZINC03235277,-9.54,decoy,crystal
ZINC27257968,-7.99,decoy,crystal
ZINC66967260,-7.64,decoy,crystal
ZINC23337994,-9.69,decoy,crystal
ZINC40055989,-8.21,decoy,crystal
ZINC35743663,-7.08,decoy,crystal
ZINC40158222,-8.7,decoy,crystal
ZINC48583337,-6.93,decoy,crystal
ZINC64930762,-8.55,decoy,crystal
ZINC67286506,-6.93,decoy,crystal
ZINC44171792,-7.51,decoy,crystal
ZINC27102325,-7.51,decoy,crystal
ZINC58177746,-6.81,decoy,crystal
ZINC06146062,-9.47,decoy,crystal
ZINC04237177,-7.04,decoy,crystal
ZINC63137682,-9.18,decoy,crystal
ZINC21318581,-8.4,decoy,crystal
ZINC04083864,-8.85,decoy,crystal
ZINC05882731,-5.9,decoy,crystal
ZINC13448631,-7.42,decoy,crystal
ZINC36916313,-6.84,decoy,crystal
ZINC12597504,-6.98,decoy,crystal
ZINC09697240,-7.32,decoy,crystal
ZINC30874595,-8.85,decoy,crystal
ZINC64074484,-8.11,decoy,crystal
ZINC64930756,-8.07,decoy,crystal
ZINC66214755,-7.22,decoy,crystal
ZINC39479752,-7.44,decoy,crystal
ZINC38793143,-11.1,decoy,crystal
ZINC39710365,-6.96,decoy,crystal
ZINC29574416,-8.96,decoy,crystal
ZINC39359435,-8.4,decoy,crystal
ZINC13640738,-8.01,decoy,crystal
ZINC35671686,-8.06,decoy,crystal
CHEMBL103055,-9.05,active,crystal
ZINC44893414,-7.95,decoy,crystal
ZINC14237541,-8.01,decoy,crystal
ZINC40485015,-7.78,decoy,crystal
ZINC15011490,-8.18,decoy,crystal
ZINC39884118,-8.53,decoy,crystal
ZINC63140709,-8.64,decoy,crystal
ZINC12589814,-7.91,decoy,crystal
ZINC03833877,-8.88,decoy,crystal
ZINC21513682,-7.61,decoy,crystal
ZINC64930513,-8.24,decoy,crystal
ZINC06074940,-7.38,decoy,crystal
ZINC63488630,-7.4,decoy,crystal
ZINC12250351,-8.03,decoy,crystal
ZINC22853789,-6.91,decoy,crystal
CHEMBL368193,-10.49,active,crystal
ZINC43726436,-8.54,decoy,crystal
ZINC13027679,-8.88,decoy,crystal
ZINC51036128,-6.91,decoy,crystal
ZINC39667513,-9.78,decoy,crystal
ZINC48767594,-7.22,decoy,crystal
ZINC29911349,-8.12,decoy,crystal
ZINC02872868,-9.27,decoy,crystal
ZINC03853144,-8.95,decoy,crystal
ZINC19914215,-6.8,decoy,crystal
ZINC64697824,-9.34,decoy,crystal
ZINC38745267,-8.65,decoy,crystal
ZINC58013700,-8.58,decoy,crystal
ZINC38671501,-8.72,decoy,crystal
ZINC09346236,-7.73,decoy,crystal
ZINC01637780,-8.98,decoy,crystal
ZINC11815332,-7.45,decoy,crystal
CHEMBL326688,-10.42,active,crystal
ZINC12818196,-8.29,decoy,crystal
ZINC27749657,-7.94,decoy,crystal
ZINC55183761,-7.68,decoy,crystal
ZINC09647777,-9.14,decoy,crystal
ZINC09969395,-8.47,decoy,crystal
ZINC09719911,-8.1,decoy,crystal
ZINC28234845,-7.25,decoy,crystal
ZINC39727435,-8.4,decoy,crystal
ZINC62304733,-9.28,decoy,crystal
ZINC45850144,-8.59,decoy,crystal
ZINC38617827,-9.6,decoy,crystal
ZINC51535503,-7.81,decoy,crystal
ZINC50587110,-6.32,decoy,crystal
ZINC33724047,-9.13,decoy,crystal
ZINC13093350,-8.06,decoy,crystal
