Ligand,Energy,Label,Best_Receptor
ZINC12391199,-8.8,decoy,crystal
ZINC11914097,-6.38,decoy,crystal
ZINC17836151,-7.58,decoy,crystal
ZINC32944895,-7.27,decoy,crystal
ZINC03217980,-9.08,decoy,crystal
ZINC21084343,-7.88,decoy,crystal
ZINC04014872,-9.29,decoy,crystal
ZINC08757734,-10.73,decoy,crystal
ZINC09350177,-7.02,decoy,crystal
ZINC28214762,-9.18,decoy,crystal
ZINC39362413,-8.33,decoy,crystal
ZINC37521565,-7.12,decoy,crystal
ZINC38615210,-8.06,decoy,crystal
ZINC40364978,-7.6,decoy,crystal
ZINC48365672,-8.78,decoy,crystal
ZINC21430660,-8.55,decoy,crystal
ZINC33400435,-8.29,decoy,crystal
ZINC36684543,-7.43,decoy,crystal
ZINC35504217,-8.56,decoy,crystal
ZINC20721888,-6.91,decoy,crystal
ZINC22917911,-9.9,decoy,crystal
CHEMBL1084028,-10.62,active,crystal
ZINC22751300,-9.42,decoy,crystal
ZINC53071533,-7.57,decoy,crystal
ZINC04164751,-6.9,decoy,crystal
ZINC45618283,-8.12,decoy,crystal
ZINC49911313,-7.57,decoy,crystal
ZINC14479337,-9.57,decoy,crystal
ZINC46569530,-7.83,decoy,crystal
ZINC62038643,-7.74,decoy,crystal
ZINC05354793,-3.58,decoy,crystal
ZINC41584689,-7.92,decoy,crystal
ZINC63933252,-7.93,decoy,crystal
ZINC19857632,-6.28,decoy,crystal
ZINC28051640,-8.95,decoy,crystal
ZINC21256586,-8.47,decoy,crystal
ZINC23423513,-6.83,decoy,crystal
ZINC20611583,-8.48,decoy,crystal
ZINC58123559,-6.91,decoy,crystal
ZINC08919820,-8.99,decoy,crystal
ZINC35449577,-6.89,decoy,crystal
ZINC54744523,-7.87,decoy,crystal
ZINC39887094,-7.26,decoy,crystal
ZINC11972090,-7.86,decoy,crystal
ZINC13591961,-7.71,decoy,crystal
ZINC02768277,-7.61,decoy,crystal
ZINC09058995,-8.14,decoy,crystal
ZINC60377462,-8.89,decoy,crystal
ZINC03628253,-7.6,decoy,crystal
ZINC39637160,-8.9,decoy,crystal
ZINC46056159,-8.22,decoy,crystal
ZINC67633698,-7.86,decoy,crystal
ZINC09546437,-7.99,decoy,crystal
ZINC39324544,-8.97,decoy,crystal
ZINC10040261,-8.13,decoy,crystal
ZINC33810458,-6.99,decoy,crystal
ZINC20883036,-8.09,decoy,crystal
ZINC12882436,-9.06,decoy,crystal
ZINC39959034,-8.82,decoy,crystal
ZINC63908658,-8.75,decoy,crystal
ZINC35023228,-6.33,decoy,crystal
ZINC00496357,-6.45,decoy,crystal
ZINC06528242,-6.98,decoy,crystal
ZINC32943291,-8.75,decoy,crystal
ZINC17143476,-8.63,decoy,crystal
ZINC21055229,-7.47,decoy,crystal
ZINC33413164,-8.35,decoy,crystal
ZINC38684991,-8.79,decoy,crystal
ZINC22222400,-8.08,decoy,crystal
ZINC03141641,-5.87,decoy,crystal
ZINC01930509,-8.16,decoy,crystal
ZINC04984587,-7.2,decoy,crystal
ZINC12498292,-7.66,decoy,crystal
ZINC13575984,-8.16,decoy,crystal
ZINC31057380,-8.43,decoy,crystal
ZINC60065667,-7.22,decoy,crystal
ZINC40736160,-8.93,decoy,crystal
ZINC18196014,-7.3,decoy,crystal
ZINC36342985,-8.47,decoy,crystal
ZINC41637097,-7.05,decoy,crystal
ZINC29580179,-9.02,decoy,crystal
ZINC11882204,-9.12,decoy,crystal
ZINC09232516,-7.62,decoy,crystal
ZINC24834786,-6.83,decoy,crystal
ZINC04264787,-7.85,decoy,crystal
ZINC33270960,-9.05,decoy,crystal
ZINC40557933,-5.75,decoy,crystal
CHEMBL69638,-7.92,active,crystal
ZINC23127142,-5.57,decoy,crystal
ZINC42486610,-8.61,decoy,crystal
ZINC34774465,-8.62,decoy,crystal
ZINC20292953,-7.7,decoy,crystal
ZINC49657341,-9.46,decoy,crystal
ZINC03073021,-8.77,decoy,crystal
ZINC57458864,-7.57,decoy,crystal
ZINC20207744,-9.24,decoy,crystal
ZINC39694738,-10.03,decoy,crystal
ZINC59110007,-8.55,decoy,crystal
ZINC64622275,-7.95,decoy,crystal
ZINC12703593,-7.4,decoy,crystal
ZINC12424627,-8.71,decoy,crystal
ZINC39522942,-7.46,decoy,crystal
ZINC41892692,-7.62,decoy,crystal
ZINC16688541,-8.72,decoy,crystal
ZINC36610079,-6.66,decoy,crystal
