Ligand,Energy,Label,Best_Receptor
ZINC04868789,-7.32,decoy,crystal
ZINC37285529,-7.12,decoy,crystal
ZINC38740797,-8.58,decoy,crystal
ZINC48606687,-6.79,decoy,crystal
ZINC08855660,-8.94,decoy,crystal
ZINC43106010,-5.58,decoy,crystal
ZINC03670609,-7.27,decoy,crystal
ZINC43410586,-6.2,decoy,crystal
ZINC08890197,-8.44,decoy,crystal
ZINC06220491,-7.19,decoy,crystal
ZINC29456817,-6.76,decoy,crystal
ZINC09606336,-6.44,decoy,crystal
ZINC43479864,-7.35,decoy,crystal
ZINC21813150,-6.66,decoy,crystal
ZINC50543644,-6.55,decoy,crystal
ZINC13139038,-7.26,decoy,crystal
ZINC39350924,-6.69,decoy,crystal
ZINC32655165,-7.37,decoy,crystal
ZINC39678316,-9.68,decoy,crystal
ZINC00307637,-6.04,decoy,crystal
ZINC42039098,-7.29,decoy,crystal
ZINC01123990,-5.65,decoy,crystal
ZINC43424715,-5.9,decoy,crystal
ZINC26720965,-8.11,decoy,crystal
ZINC37844295,-7.67,decoy,crystal
ZINC18196464,-8.35,decoy,crystal
ZINC50000920,-5.45,decoy,crystal
ZINC40533130,-6.73,decoy,crystal
ZINC57510573,-7.31,decoy,crystal
ZINC13582078,-8.15,decoy,crystal
ZINC67304723,-7.47,decoy,crystal
ZINC44858774,-5.76,decoy,crystal
ZINC13207346,-7.42,decoy,crystal
ZINC06607110,-6.76,decoy,crystal
ZINC32808861,-8.26,decoy,crystal
ZINC16036473,-6.1,decoy,crystal
ZINC07505954,-6.88,decoy,crystal
ZINC03289588,-8.81,decoy,crystal
ZINC52339536,-7.31,decoy,crystal
ZINC65394123,-6.01,decoy,crystal
ZINC63355132,-9.28,decoy,crystal
ZINC62580541,-7.82,decoy,crystal
ZINC63479813,-9.4,decoy,crystal
ZINC50830646,-6.57,decoy,crystal
ZINC08314152,-8.62,decoy,crystal
ZINC15958025,-8.05,decoy,crystal
ZINC32282160,-7.4,decoy,crystal
ZINC40603636,-5.88,decoy,crystal
ZINC44254602,-7.51,decoy,crystal
ZINC52012374,-5.39,decoy,crystal
ZINC66868830,-7.61,decoy,crystal
ZINC50208629,-7.74,decoy,crystal
ZINC26743596,-8.85,decoy,crystal
ZINC37359304,-8.3,decoy,crystal
ZINC40483322,-6.69,decoy,crystal
ZINC44792991,-5.3,decoy,crystal
ZINC39726223,-8.36,decoy,crystal
ZINC36827095,-6.74,decoy,crystal
ZINC20682492,-7.61,decoy,crystal
ZINC05725949,-7.77,decoy,crystal
ZINC59170367,-7.83,decoy,crystal
ZINC15086120,-5.85,decoy,crystal
ZINC62811449,-6.86,decoy,crystal
ZINC62849198,-7.03,decoy,crystal
ZINC43411144,-4.88,decoy,crystal
ZINC42411926,-5.4,decoy,crystal
ZINC62312897,-7.61,decoy,crystal
ZINC04210179,-7.89,decoy,crystal
ZINC37365535,-6.83,decoy,crystal
