Ligand,Energy,Label,Best_Receptor
ZINC04976875,-9.67,decoy,crystal
ZINC34905716,-11.88,decoy,crystal
ZINC14456564,-12.08,decoy,crystal
ZINC39360852,-8.22,decoy,crystal
ZINC20136802,-8.97,decoy,crystal
ZINC08690146,-9.41,decoy,crystal
ZINC12475912,-11.36,decoy,crystal
ZINC12250265,-12.03,decoy,crystal
ZINC57991157,-10.77,decoy,crystal
ZINC09548242,-10.08,decoy,crystal
ZINC20720595,-7.21,decoy,crystal
ZINC38959123,-8.17,decoy,crystal
ZINC59015574,-11.11,decoy,crystal
ZINC07855277,-12.66,decoy,crystal
ZINC22289580,-10.44,decoy,crystal
ZINC20767858,-10.03,decoy,crystal
ZINC05148115,-9.18,decoy,crystal
ZINC48942231,-9.22,decoy,crystal
ZINC63426655,-8.28,decoy,crystal
ZINC39914186,-8.67,decoy,crystal
ZINC01470867,-5.5,decoy,crystal
ZINC43526990,-8.3,decoy,crystal
ZINC64697697,-12.79,decoy,crystal
ZINC67154833,-10.25,decoy,crystal
ZINC61638354,-7.77,decoy,crystal
ZINC09477665,-13.7,decoy,crystal
ZINC63140895,-8.01,decoy,crystal
ZINC06149288,-7.87,decoy,crystal
ZINC35930081,-7.2,decoy,crystal
ZINC09558758,-11.88,decoy,crystal
ZINC08450432,-11.63,decoy,crystal
ZINC39926693,-7.69,decoy,crystal
ZINC59023138,-11.41,decoy,crystal
ZINC09369034,-11.11,decoy,crystal
ZINC62569512,-8.43,decoy,crystal
ZINC21970996,-9.82,decoy,crystal
ZINC01191973,-10.25,decoy,crystal
ZINC38650816,-10.83,decoy,crystal
ZINC18180731,-12.01,decoy,crystal
ZINC06322166,-10.17,decoy,crystal
ZINC39672956,-8.95,decoy,crystal
ZINC40982302,-9.78,decoy,crystal
ZINC58510908,-8.72,decoy,crystal
ZINC63627260,-9.06,decoy,crystal
ZINC09006097,-13.05,decoy,crystal
ZINC38768264,-9.33,decoy,crystal
ZINC36603068,-8.18,decoy,crystal
ZINC27695713,-9.46,decoy,crystal
ZINC05055708,-11.2,decoy,crystal
ZINC64006279,-10.45,decoy,crystal
ZINC39826360,-9.27,decoy,crystal
ZINC07925827,-11.35,decoy,crystal
ZINC39666139,-9.45,decoy,crystal
ZINC39770423,-10.55,decoy,crystal
CHEMBL500921,-11.83,active,crystal
ZINC22789957,-10.32,decoy,crystal
ZINC36555346,-8.6,decoy,crystal
ZINC38887441,-12.0,decoy,crystal
ZINC36490448,-7.98,decoy,crystal
ZINC36063991,-11.74,decoy,crystal
ZINC35452717,-10.11,decoy,crystal
ZINC39211783,-9.96,decoy,crystal
ZINC39744510,-11.02,decoy,crystal
ZINC35486675,-7.7,decoy,crystal
ZINC08937028,-12.63,decoy,crystal
ZINC02459081,-9.0,decoy,crystal
ZINC08711011,-10.81,decoy,crystal
ZINC13477299,-10.74,decoy,crystal
ZINC18461497,-9.88,decoy,crystal
ZINC03059467,-11.69,decoy,crystal
ZINC08629313,-10.69,decoy,crystal
ZINC24140768,-11.73,decoy,crystal
ZINC14880625,-10.08,decoy,crystal
ZINC13499097,-8.58,decoy,crystal
ZINC08789811,-7.11,decoy,crystal
ZINC52636702,-10.48,decoy,crystal
ZINC13041512,-10.96,decoy,crystal
ZINC09665710,-8.48,decoy,crystal
ZINC08635481,-9.41,decoy,crystal
ZINC36534591,-6.92,decoy,crystal
ZINC29233820,-7.93,decoy,crystal
ZINC63426814,-11.07,decoy,crystal
ZINC39935671,-9.06,decoy,crystal
ZINC39945874,-11.62,decoy,crystal
ZINC19025667,-9.62,decoy,crystal
ZINC55168445,-10.23,decoy,crystal
ZINC28288369,-9.12,decoy,crystal
ZINC08695310,-7.74,decoy,crystal
ZINC39197442,-8.2,decoy,crystal
ZINC08845741,-10.0,decoy,crystal
ZINC44714546,-8.93,decoy,crystal
ZINC20232221,-11.41,decoy,crystal
ZINC45306370,-11.1,decoy,crystal
ZINC58846019,-7.71,decoy,crystal
ZINC45970867,-10.41,decoy,crystal
ZINC00673418,-7.88,decoy,crystal
ZINC09633602,-10.95,decoy,crystal
ZINC09278364,-8.85,decoy,crystal
ZINC00118031,-6.83,decoy,crystal
ZINC12896995,-9.16,decoy,crystal
ZINC39710498,-7.35,decoy,crystal
ZINC63778004,-10.36,decoy,crystal
ZINC51993212,-8.72,decoy,crystal
ZINC39685381,-9.28,decoy,crystal
ZINC62038927,-12.06,decoy,crystal
ZINC64704442,-9.25,decoy,crystal
ZINC08302185,-9.24,decoy,crystal
ZINC00133729,-8.96,decoy,crystal
ZINC62770116,-8.05,decoy,crystal
ZINC38971474,-8.63,decoy,crystal
ZINC39012002,-8.47,decoy,crystal
ZINC10129882,-8.11,decoy,crystal
ZINC49469264,-12.12,decoy,crystal
ZINC06408519,-10.99,decoy,crystal
ZINC31868386,-7.09,decoy,crystal
ZINC12887832,-8.16,decoy,crystal
ZINC64970738,-10.77,decoy,crystal
ZINC02108866,-8.43,decoy,crystal
ZINC12385023,-5.19,decoy,crystal
ZINC00155810,-7.79,decoy,crystal
ZINC35378969,-13.54,decoy,crystal
ZINC39035044,-9.48,decoy,crystal
ZINC35377735,-9.96,decoy,crystal
ZINC59464615,-10.02,decoy,crystal
ZINC13758412,-10.06,decoy,crystal
ZINC36493798,-7.43,decoy,crystal
ZINC02343341,-6.89,decoy,crystal
ZINC14644324,-9.32,decoy,crystal
ZINC09018795,-9.38,decoy,crystal
ZINC08783333,-8.77,decoy,crystal
ZINC45725941,-8.72,decoy,crystal
ZINC09304253,-10.76,decoy,crystal
ZINC39556120,-9.12,decoy,crystal
ZINC06301110,-9.72,decoy,crystal
ZINC08443498,-7.54,decoy,crystal
ZINC39666031,-7.89,decoy,crystal
ZINC08429589,-10.5,decoy,crystal
ZINC39967368,-10.28,decoy,crystal
ZINC40318445,-8.88,decoy,crystal
ZINC59809324,-11.99,decoy,crystal
ZINC57852815,-9.94,decoy,crystal
ZINC16427653,-7.28,decoy,crystal
ZINC08328890,-11.3,decoy,crystal
