Ligand,Energy,Label,Best_Receptor
ZINC36485648,-8.7,decoy,crystal
ZINC20367361,-9.68,decoy,crystal
ZINC24953892,-9.47,decoy,crystal
ZINC38044266,-7.09,decoy,crystal
ZINC65490794,-7.32,decoy,crystal
ZINC22418200,-9.19,decoy,crystal
ZINC39715978,-6.2,decoy,crystal
ZINC09125643,-7.28,decoy,crystal
ZINC40548790,-9.49,decoy,crystal
ZINC65329933,-9.54,decoy,crystal
ZINC00254989,-7.88,decoy,crystal
ZINC15743649,-10.34,decoy,crystal
ZINC63600718,-9.36,decoy,crystal
ZINC21253847,-8.97,decoy,crystal
ZINC63573196,-8.43,decoy,crystal
CHEMBL41723,-8.92,active,crystal
ZINC63383546,-7.52,decoy,crystal
ZINC02963397,-6.87,decoy,crystal
ZINC20356717,-10.34,decoy,crystal
ZINC02124931,-9.16,decoy,crystal
ZINC05185699,-9.01,decoy,crystal
ZINC40768668,-7.72,decoy,crystal
ZINC63187661,-8.74,decoy,crystal
ZINC39532105,-7.23,decoy,crystal
ZINC01824261,-9.42,decoy,crystal
ZINC65375632,-5.65,decoy,crystal
ZINC11955115,-7.99,decoy,crystal
ZINC10244362,-7.92,decoy,crystal
ZINC39532181,-6.9,decoy,crystal
ZINC62892003,-6.56,decoy,crystal
ZINC20478543,-7.92,decoy,crystal
ZINC40736755,-8.05,decoy,crystal
ZINC01868311,-8.53,decoy,crystal
ZINC07986621,-7.43,decoy,crystal
ZINC00975846,-9.0,decoy,crystal
ZINC65550481,-6.91,decoy,crystal
ZINC12501067,-8.52,decoy,crystal
ZINC27697368,-8.09,decoy,crystal
ZINC18200630,-8.42,decoy,crystal
ZINC35035841,-9.48,decoy,crystal
ZINC13033343,-8.88,decoy,crystal
ZINC36559881,-9.04,decoy,crystal
ZINC66739098,-8.07,decoy,crystal
ZINC23486454,-8.18,decoy,crystal
ZINC03877666,-10.94,decoy,crystal
ZINC13973161,-9.61,decoy,crystal
ZINC44834428,-7.0,decoy,crystal
ZINC17093810,-7.81,decoy,crystal
ZINC09347458,-10.03,decoy,crystal
ZINC05725885,-8.88,decoy,crystal
ZINC36108422,-6.08,decoy,crystal
ZINC16603829,-8.01,decoy,crystal
ZINC02889263,-9.74,decoy,crystal
ZINC66595777,-7.43,decoy,crystal
ZINC11839492,-9.27,decoy,crystal
ZINC07260099,-7.84,decoy,crystal
ZINC14459383,-9.74,decoy,crystal
ZINC20796104,-10.29,decoy,crystal
ZINC39373009,-8.33,decoy,crystal
ZINC36118438,-10.28,decoy,crystal
ZINC39671575,-8.81,decoy,crystal
ZINC40309204,-7.44,decoy,crystal
ZINC39024330,-9.58,decoy,crystal
ZINC35772484,-9.12,decoy,crystal
ZINC04135009,-7.46,decoy,crystal
CHEMBL402489,-8.4,active,crystal
ZINC08608011,-9.65,decoy,crystal
ZINC40755897,-7.96,decoy,crystal
ZINC06015268,-9.66,decoy,crystal
CHEMBL331215,-9.87,active,crystal
ZINC06856699,-9.09,decoy,crystal
ZINC36640606,-7.59,decoy,crystal
