Ligand,Energy,Label,Best_Receptor
ZINC49550042,-7.51,decoy,crystal
ZINC42652324,-7.83,decoy,crystal
ZINC09193517,-8.79,decoy,crystal
ZINC34761631,-9.46,decoy,crystal
ZINC09388951,-8.67,decoy,crystal
ZINC39357111,-9.36,decoy,crystal
ZINC64428316,-10.21,decoy,crystal
ZINC10001155,-8.85,decoy,crystal
ZINC09448112,-8.87,decoy,crystal
ZINC63625822,-9.39,decoy,crystal
ZINC39842191,-9.33,decoy,crystal
ZINC09483259,-8.27,decoy,crystal
ZINC33514711,-8.52,decoy,crystal
ZINC39661094,-9.28,decoy,crystal
ZINC36507443,-8.1,decoy,crystal
ZINC61088460,-6.51,decoy,crystal
ZINC43508522,-7.48,decoy,crystal
ZINC47929653,-9.13,decoy,crystal
ZINC36609352,-9.26,decoy,crystal
ZINC22626886,-8.44,decoy,crystal
ZINC08964467,-9.98,decoy,crystal
ZINC35098271,-8.39,decoy,crystal
ZINC07409922,-8.34,decoy,crystal
ZINC36040010,-8.42,decoy,crystal
ZINC46387407,-7.67,decoy,crystal
ZINC04203124,-8.43,decoy,crystal
ZINC40986373,-9.92,decoy,crystal
ZINC22835291,-9.04,decoy,crystal
ZINC49181623,-6.62,decoy,crystal
ZINC00143346,-7.26,decoy,crystal
ZINC35671747,-8.74,decoy,crystal
ZINC36505843,-7.71,decoy,crystal
ZINC38597095,-8.67,decoy,crystal
ZINC40773513,-6.62,decoy,crystal
ZINC59305563,-9.13,decoy,crystal
ZINC36577982,-8.84,decoy,crystal
ZINC39657687,-10.31,decoy,crystal
ZINC43760822,-7.03,decoy,crystal
ZINC63941274,-10.55,decoy,crystal
ZINC34749736,-9.2,decoy,crystal
ZINC43221545,-8.37,decoy,crystal
ZINC09715896,-9.43,decoy,crystal
ZINC45680723,-9.75,decoy,crystal
ZINC38596277,-8.78,decoy,crystal
ZINC34749435,-9.28,decoy,crystal
ZINC39912627,-8.5,decoy,crystal
ZINC16646133,-7.98,decoy,crystal
ZINC59852638,-7.48,decoy,crystal
ZINC24094175,-8.58,decoy,crystal
ZINC39487153,-7.57,decoy,crystal
ZINC08897776,-8.95,decoy,crystal
ZINC42892554,-7.79,decoy,crystal
ZINC27250170,-7.38,decoy,crystal
ZINC35908177,-9.35,decoy,crystal
ZINC14541310,-10.0,decoy,crystal
ZINC16604684,-8.64,decoy,crystal
ZINC65137084,-8.94,decoy,crystal
ZINC13064145,-9.08,decoy,crystal
ZINC39597708,-9.66,decoy,crystal
ZINC14185549,-8.59,decoy,crystal
ZINC11867304,-8.76,decoy,crystal
ZINC35095746,-9.66,decoy,crystal
ZINC18056945,-8.78,decoy,crystal
ZINC63587469,-10.76,decoy,crystal
ZINC01279910,-7.72,decoy,crystal
ZINC08035285,-8.65,decoy,crystal
ZINC00302473,-6.18,decoy,crystal
ZINC59086945,-8.66,decoy,crystal
ZINC29132423,-8.88,decoy,crystal
ZINC36618614,-6.86,decoy,crystal
ZINC03521844,-9.46,decoy,crystal
ZINC23410673,-9.28,decoy,crystal
ZINC40709271,-8.06,decoy,crystal
ZINC45300059,-7.61,decoy,crystal
ZINC11720021,-9.01,decoy,crystal
ZINC20582645,-10.48,decoy,crystal
ZINC65743042,-8.84,decoy,crystal
ZINC57674762,-8.92,decoy,crystal
ZINC65074755,-9.26,decoy,crystal
ZINC09256406,-8.72,decoy,crystal
ZINC16000673,-7.14,decoy,crystal
ZINC20913807,-8.18,decoy,crystal
ZINC36333176,-9.31,decoy,crystal
ZINC00906360,-9.6,decoy,crystal
ZINC39708290,-8.33,decoy,crystal
ZINC58914313,-8.7,decoy,crystal
ZINC58308539,-8.53,decoy,crystal
ZINC40999065,-7.02,decoy,crystal
ZINC16646939,-8.59,decoy,crystal
ZINC20909269,-8.16,decoy,crystal
ZINC30979796,-10.29,decoy,crystal
ZINC34761926,-8.46,decoy,crystal
ZINC63708245,-10.34,decoy,crystal
ZINC63874478,-9.14,decoy,crystal
ZINC22108985,-10.01,decoy,crystal
ZINC06246462,-10.0,decoy,crystal
ZINC08826781,-7.53,decoy,crystal
ZINC09389495,-8.62,decoy,crystal
ZINC08868724,-8.99,decoy,crystal
ZINC20842193,-9.36,decoy,crystal
ZINC39710527,-9.28,decoy,crystal
ZINC00661095,-9.3,decoy,crystal
ZINC43746755,-8.09,decoy,crystal
ZINC36497960,-8.03,decoy,crystal
ZINC41547175,-8.86,decoy,crystal
ZINC21231643,-9.98,decoy,crystal
ZINC40559121,-7.43,decoy,crystal
ZINC40315692,-9.25,decoy,crystal
ZINC52527995,-7.6,decoy,crystal
ZINC64435868,-8.68,decoy,crystal
ZINC63541288,-9.09,decoy,crystal
ZINC39684150,-9.52,decoy,crystal
ZINC36157035,-8.09,decoy,crystal
ZINC65096110,-8.12,decoy,crystal
ZINC39655923,-10.84,decoy,crystal
ZINC12742561,-8.54,decoy,crystal
ZINC33467560,-8.63,decoy,crystal
ZINC36354317,-9.2,decoy,crystal
ZINC52881030,-7.29,decoy,crystal
ZINC09766111,-9.16,decoy,crystal
ZINC33812611,-8.81,decoy,crystal
ZINC35867291,-8.61,decoy,crystal
ZINC10063072,-9.13,decoy,crystal
ZINC16870514,-8.33,decoy,crystal
ZINC13031119,-9.29,decoy,crystal
ZINC22343864,-7.65,decoy,crystal
ZINC22344891,-8.42,decoy,crystal
ZINC14661163,-8.65,decoy,crystal
ZINC12882358,-8.61,decoy,crystal
ZINC63541086,-8.09,decoy,crystal
ZINC34313125,-9.0,decoy,crystal
ZINC40138180,-9.43,decoy,crystal
ZINC09309702,-7.56,decoy,crystal
ZINC37125089,-7.08,decoy,crystal
ZINC16570162,-7.34,decoy,crystal
CHEMBL105642,-9.35,active,crystal
ZINC19798961,-7.32,decoy,crystal
ZINC34831293,-9.07,decoy,crystal
ZINC64313795,-7.75,decoy,crystal
ZINC40317736,-9.1,decoy,crystal
ZINC36815702,-6.81,decoy,crystal
ZINC40322861,-10.6,decoy,crystal
ZINC39676192,-8.56,decoy,crystal
ZINC59409338,-6.5,decoy,crystal
ZINC33790115,-10.57,decoy,crystal
ZINC12578821,-9.97,decoy,crystal
ZINC35486908,-7.49,decoy,crystal
ZINC35725346,-9.16,decoy,crystal
ZINC44516747,-7.88,decoy,crystal
ZINC58201428,-8.34,decoy,crystal
ZINC35356135,-8.22,decoy,crystal
ZINC37552581,-7.39,decoy,crystal
ZINC13542860,-6.6,decoy,crystal
ZINC44861067,-6.8,decoy,crystal
ZINC08038416,-7.91,decoy,crystal
ZINC27549847,-10.54,decoy,crystal
ZINC54689926,-7.16,decoy,crystal
ZINC09776419,-8.88,decoy,crystal
ZINC40622690,-8.19,decoy,crystal
ZINC36290569,-7.66,decoy,crystal
ZINC13499245,-10.39,decoy,crystal
ZINC44216164,-7.21,decoy,crystal
ZINC06288118,-7.57,decoy,crystal
ZINC05175941,-7.23,decoy,crystal
ZINC36495258,-7.9,decoy,crystal
ZINC66235221,-7.64,decoy,crystal
ZINC32125130,-8.68,decoy,crystal
ZINC51993159,-7.9,decoy,crystal
ZINC41069863,-6.02,decoy,crystal
ZINC05125832,-10.02,decoy,crystal
ZINC65584310,-7.27,decoy,crystal
ZINC61786580,-8.07,decoy,crystal
ZINC40904524,-10.78,decoy,crystal
ZINC01772187,-7.85,decoy,crystal
ZINC30975042,-9.17,decoy,crystal
ZINC02255194,-7.64,decoy,crystal
ZINC20682565,-8.68,decoy,crystal
ZINC43865394,-7.25,decoy,crystal
ZINC36448968,-6.39,decoy,crystal
ZINC40757448,-7.41,decoy,crystal
ZINC15049779,-9.78,decoy,crystal
ZINC36817727,-8.45,decoy,crystal
ZINC04618641,-9.38,decoy,crystal
ZINC00500515,-6.81,decoy,crystal
ZINC34748169,-8.6,decoy,crystal
ZINC39602226,-9.24,decoy,crystal
ZINC05198502,-7.66,decoy,crystal
ZINC63514836,-8.29,decoy,crystal
ZINC09023446,-7.93,decoy,crystal
ZINC49404253,-7.38,decoy,crystal
ZINC13730028,-9.9,decoy,crystal
ZINC08582548,-7.86,decoy,crystal
ZINC01311479,-8.02,decoy,crystal
ZINC14473295,-9.91,decoy,crystal
ZINC62893329,-7.44,decoy,crystal
ZINC44874076,-9.47,decoy,crystal
ZINC02095792,-7.42,decoy,crystal
ZINC01740248,-6.71,decoy,crystal
ZINC40980597,-7.09,decoy,crystal
ZINC38872585,-9.75,decoy,crystal
ZINC15857597,-8.92,decoy,crystal
ZINC46615314,-8.17,decoy,crystal
ZINC43474886,-6.62,decoy,crystal
ZINC13000324,-8.48,decoy,crystal
ZINC13063705,-9.64,decoy,crystal
ZINC19367741,-7.87,decoy,crystal
ZINC39843836,-9.51,decoy,crystal
ZINC53502736,-9.32,decoy,crystal
ZINC30977692,-10.58,decoy,crystal
ZINC58178814,-9.03,decoy,crystal
ZINC45026278,-6.61,decoy,crystal
ZINC40008577,-7.84,decoy,crystal
ZINC44853916,-9.71,decoy,crystal
ZINC00934298,-6.49,decoy,crystal
ZINC63215752,-7.77,decoy,crystal
ZINC36235374,-7.69,decoy,crystal
ZINC11692662,-8.25,decoy,crystal
ZINC10000284,-7.99,decoy,crystal
ZINC13024174,-8.8,decoy,crystal
ZINC40752333,-8.66,decoy,crystal
ZINC64345185,-8.47,decoy,crystal
ZINC64436138,-9.29,decoy,crystal
ZINC13064851,-10.14,decoy,crystal
ZINC20806295,-8.13,decoy,crystal
ZINC53044592,-7.73,decoy,crystal
ZINC40172775,-8.11,decoy,crystal
ZINC40138497,-9.2,decoy,crystal
ZINC02558582,-7.85,decoy,crystal
ZINC43712726,-6.71,decoy,crystal
ZINC05376547,-7.76,decoy,crystal
ZINC10696597,-10.74,decoy,crystal
ZINC13537293,-7.1,decoy,crystal
CHEMBL386230,-8.17,active,crystal
ZINC63479901,-10.28,decoy,crystal
ZINC04222474,-9.02,decoy,crystal
ZINC34912790,-7.44,decoy,crystal
ZINC32604000,-7.99,decoy,crystal
ZINC67335223,-8.25,decoy,crystal
ZINC39928991,-9.7,decoy,crystal
ZINC20923900,-8.97,decoy,crystal
ZINC57994637,-8.6,decoy,crystal
ZINC37317671,-7.26,decoy,crystal
ZINC40709658,-8.03,decoy,crystal
ZINC47137389,-8.69,decoy,crystal
CHEMBL361708,-7.01,active,crystal
ZINC20175509,-8.37,decoy,crystal
ZINC09972531,-7.34,decoy,crystal
ZINC37056011,-8.06,decoy,crystal
ZINC05920829,-9.98,decoy,crystal
ZINC33813191,-8.65,decoy,crystal
ZINC64227830,-10.26,decoy,crystal
ZINC55098951,-9.04,decoy,crystal
ZINC40683296,-8.59,decoy,crystal
ZINC12920962,-8.81,decoy,crystal
ZINC00885477,-8.02,decoy,crystal
ZINC03082547,-7.84,decoy,crystal
ZINC23858673,-8.71,decoy,crystal
ZINC03237713,-8.23,decoy,crystal
ZINC36643475,-9.0,decoy,crystal
ZINC10155296,-9.18,decoy,crystal
ZINC12677658,-10.2,decoy,crystal
ZINC56762738,-8.64,decoy,crystal
ZINC03051801,-8.74,decoy,crystal
ZINC06415837,-8.0,decoy,crystal
ZINC58961283,-8.13,decoy,crystal
ZINC16577459,-7.41,decoy,crystal
ZINC36593511,-8.86,decoy,crystal
ZINC23447266,-9.08,decoy,crystal
ZINC08623031,-9.86,decoy,crystal
ZINC64227746,-9.13,decoy,crystal
ZINC36648033,-8.6,decoy,crystal
ZINC29168702,-10.47,decoy,crystal
ZINC40913946,-9.4,decoy,crystal
ZINC23452425,-10.09,decoy,crystal
ZINC16041356,-7.31,decoy,crystal
ZINC06228508,-7.73,decoy,crystal
ZINC06934626,-8.49,decoy,crystal
CHEMBL31733,-7.68,active,crystal
ZINC52860726,-7.46,decoy,crystal
ZINC08881015,-9.52,decoy,crystal
ZINC11634325,-8.78,decoy,crystal
ZINC12569229,-10.07,decoy,crystal
ZINC39657404,-8.71,decoy,crystal
ZINC37427896,-5.97,decoy,crystal
ZINC10244638,-7.45,decoy,crystal
ZINC40322126,-9.89,decoy,crystal
ZINC35465390,-8.08,decoy,crystal
ZINC12901811,-8.7,decoy,crystal
ZINC40498426,-7.14,decoy,crystal
ZINC15015905,-7.93,decoy,crystal
ZINC12218271,-9.25,decoy,crystal
ZINC24143152,-7.83,decoy,crystal
ZINC01375632,-9.16,decoy,crystal
CHEMBL573577,-8.61,active,crystal
ZINC63384206,-8.06,decoy,crystal
ZINC40397397,-8.23,decoy,crystal
ZINC38774233,-9.13,decoy,crystal
ZINC39685780,-8.82,decoy,crystal
ZINC33740735,-8.22,decoy,crystal
ZINC13513423,-10.74,decoy,crystal
ZINC07001576,-9.03,decoy,crystal
ZINC31045940,-8.5,decoy,crystal
ZINC06193784,-9.22,decoy,crystal
ZINC06530525,-9.85,decoy,crystal
ZINC38688987,-10.37,decoy,crystal
ZINC16121467,-8.31,decoy,crystal
ZINC54065065,-8.95,decoy,crystal
ZINC14270007,-8.71,decoy,crystal
ZINC40400254,-9.34,decoy,crystal
ZINC09521497,-9.66,decoy,crystal
ZINC39671441,-8.78,decoy,crystal
ZINC35025006,-7.83,decoy,crystal
ZINC24952051,-7.76,decoy,crystal
ZINC43023152,-6.66,decoy,crystal
ZINC39584832,-7.08,decoy,crystal
ZINC40744725,-9.48,decoy,crystal
ZINC40065906,-8.44,decoy,crystal
ZINC08920490,-8.38,decoy,crystal
ZINC67186853,-8.57,decoy,crystal
ZINC61361003,-7.64,decoy,crystal
ZINC02275490,-8.51,decoy,crystal
ZINC11912330,-8.16,decoy,crystal
ZINC35779147,-8.07,decoy,crystal
ZINC09396438,-8.99,decoy,crystal
ZINC15945201,-9.19,decoy,crystal
ZINC33617245,-8.62,decoy,crystal
ZINC66384021,-9.0,decoy,crystal
ZINC13495879,-9.68,decoy,crystal
ZINC64449953,-9.69,decoy,crystal
ZINC34748155,-8.7,decoy,crystal
ZINC22715928,-7.68,decoy,crystal
ZINC63315907,-8.21,decoy,crystal
ZINC43772244,-8.22,decoy,crystal
ZINC12402270,-7.34,decoy,crystal
ZINC34699110,-9.39,decoy,crystal
ZINC64277690,-8.98,decoy,crystal
ZINC63399213,-9.36,decoy,crystal
ZINC64002804,-7.74,decoy,crystal
ZINC63994178,-9.05,decoy,crystal
ZINC41150829,-8.35,decoy,crystal
ZINC22708080,-9.38,decoy,crystal
ZINC00067486,-7.77,decoy,crystal
ZINC16636638,-9.22,decoy,crystal
CHEMBL281662,-9.26,active,crystal
ZINC58974427,-7.99,decoy,crystal
ZINC02323571,-9.07,decoy,crystal
ZINC01251592,-9.58,decoy,crystal
ZINC06169018,-6.88,decoy,crystal
ZINC08768468,-9.62,decoy,crystal
ZINC61499710,-7.97,decoy,crystal
ZINC61374285,-6.63,decoy,crystal
ZINC35704031,-9.98,decoy,crystal
ZINC38750538,-8.51,decoy,crystal
ZINC20358411,-7.65,decoy,crystal
ZINC40531171,-5.99,decoy,crystal
ZINC16805085,-7.57,decoy,crystal
ZINC35564799,-9.16,decoy,crystal
ZINC11063736,-9.38,decoy,crystal
