Ligand,Energy,Label,Best_Receptor
ZINC19164882,-8.97,decoy,crystal
ZINC08935191,-7.52,decoy,crystal
ZINC56052012,-7.84,decoy,crystal
ZINC64395536,-9.63,decoy,crystal
ZINC00824018,-8.68,decoy,crystal
ZINC33557086,-9.66,decoy,crystal
ZINC22824074,-9.45,decoy,crystal
ZINC36543167,-9.24,decoy,crystal
ZINC40404712,-7.88,decoy,crystal
ZINC08876371,-8.77,decoy,crystal
ZINC11297854,-8.11,decoy,crystal
ZINC31045696,-10.29,decoy,crystal
ZINC08856112,-9.85,decoy,crystal
ZINC59913672,-8.38,decoy,crystal
ZINC59410949,-8.89,decoy,crystal
ZINC36568476,-7.97,decoy,crystal
ZINC02073733,-10.17,decoy,crystal
ZINC33306440,-10.12,decoy,crystal
ZINC57054125,-9.44,decoy,crystal
ZINC22495901,-9.12,decoy,crystal
ZINC38041557,-6.69,decoy,crystal
ZINC06636064,-9.65,decoy,crystal
ZINC02325756,-10.16,decoy,crystal
ZINC04671843,-10.33,decoy,crystal
ZINC14477103,-9.95,decoy,crystal
ZINC41021038,-9.8,decoy,crystal
ZINC45912823,-8.13,decoy,crystal
ZINC58380368,-6.86,decoy,crystal
ZINC20331609,-9.69,decoy,crystal
ZINC63646996,-10.26,decoy,crystal
ZINC14159420,-8.88,decoy,crystal
ZINC27009313,-9.2,decoy,crystal
ZINC13033520,-9.85,decoy,crystal
ZINC59287185,-9.44,decoy,crystal
ZINC63172471,-8.11,decoy,crystal
ZINC38705160,-10.41,decoy,crystal
ZINC39355934,-6.65,decoy,crystal
ZINC14023317,-9.58,decoy,crystal
ZINC60386071,-9.38,decoy,crystal
ZINC35527833,-11.35,decoy,crystal
ZINC38704736,-9.86,decoy,crystal
ZINC22920908,-8.77,decoy,crystal
ZINC16651143,-9.14,decoy,crystal
ZINC39607188,-9.03,decoy,crystal
ZINC34748129,-7.5,decoy,crystal
ZINC06155179,-10.48,decoy,crystal
ZINC09034098,-10.45,decoy,crystal
ZINC63929351,-9.36,decoy,crystal
ZINC01378275,-9.33,decoy,crystal
ZINC05449930,-9.64,decoy,crystal
ZINC50704164,-7.52,decoy,crystal
ZINC13171742,-10.41,decoy,crystal
ZINC50554695,-8.25,decoy,crystal
ZINC09406914,-10.05,decoy,crystal
ZINC64031277,-8.67,decoy,crystal
ZINC63271275,-9.16,decoy,crystal
ZINC39635884,-9.36,decoy,crystal
ZINC12211359,-9.57,decoy,crystal
ZINC16966217,-10.2,decoy,crystal
ZINC09080913,-10.13,decoy,crystal
ZINC03864114,-9.62,decoy,crystal
ZINC39636954,-8.05,decoy,crystal
ZINC39690245,-8.79,decoy,crystal
ZINC11720014,-8.51,decoy,crystal
ZINC20764147,-7.41,decoy,crystal
ZINC14656976,-7.82,decoy,crystal
ZINC20284598,-11.02,decoy,crystal
ZINC04109737,-8.7,decoy,crystal
ZINC16194388,-8.49,decoy,crystal
ZINC18342797,-8.4,decoy,crystal
ZINC13454185,-10.68,decoy,crystal
ZINC36205465,-7.54,decoy,crystal
ZINC39727171,-8.37,decoy,crystal
ZINC03298722,-7.19,decoy,crystal
ZINC38705528,-9.48,decoy,crystal
ZINC35815412,-9.19,decoy,crystal
ZINC20711239,-9.93,decoy,crystal
ZINC08451712,-8.69,decoy,crystal
ZINC50418002,-7.75,decoy,crystal
ZINC39603572,-8.51,decoy,crystal
ZINC20709588,-9.28,decoy,crystal
ZINC02347374,-7.16,decoy,crystal
ZINC66305707,-8.72,decoy,crystal
ZINC48833720,-7.71,decoy,crystal
ZINC35745508,-7.75,decoy,crystal
ZINC01117116,-9.53,decoy,crystal
ZINC58159094,-8.66,decoy,crystal
ZINC04027654,-4.83,decoy,crystal
ZINC39688460,-9.05,decoy,crystal
ZINC09126332,-8.97,decoy,crystal
ZINC40173517,-7.92,decoy,crystal
ZINC12660040,-10.83,decoy,crystal
ZINC23962093,-8.43,decoy,crystal
ZINC08919565,-9.44,decoy,crystal
ZINC39850113,-10.47,decoy,crystal
ZINC39957708,-8.23,decoy,crystal
ZINC39899678,-8.08,decoy,crystal
ZINC64541237,-8.25,decoy,crystal
ZINC20328892,-10.11,decoy,crystal
ZINC39599415,-9.69,decoy,crystal
ZINC20709814,-7.1,decoy,crystal
ZINC35747733,-7.98,decoy,crystal
ZINC39777013,-8.5,decoy,crystal
ZINC39711233,-8.13,decoy,crystal
ZINC12709924,-10.19,decoy,crystal
ZINC21309232,-7.42,decoy,crystal
ZINC23454245,-9.81,decoy,crystal
ZINC62533121,-5.68,decoy,crystal
ZINC35316161,-9.07,decoy,crystal
ZINC03885416,-6.99,decoy,crystal
ZINC30977670,-9.33,decoy,crystal
ZINC45618314,-8.6,decoy,crystal
ZINC41585411,-10.21,decoy,crystal
ZINC04998404,-9.24,decoy,crystal
ZINC35378845,-9.43,decoy,crystal
ZINC05675966,-9.39,decoy,crystal
ZINC20883784,-7.89,decoy,crystal
ZINC08662691,-6.1,decoy,crystal
ZINC60429591,-7.83,decoy,crystal
ZINC45026746,-9.16,decoy,crystal
ZINC06135347,-9.74,decoy,crystal
ZINC39404344,-8.16,decoy,crystal
ZINC00946536,-6.93,decoy,crystal
ZINC39634141,-9.87,decoy,crystal
ZINC13567596,-7.42,decoy,crystal
ZINC39674455,-9.55,decoy,crystal
ZINC02100102,-10.34,decoy,crystal
ZINC03105639,-8.39,decoy,crystal
ZINC52604259,-8.03,decoy,crystal
ZINC39652856,-9.19,decoy,crystal
ZINC63829837,-8.85,decoy,crystal
ZINC04488413,-8.26,decoy,crystal
ZINC12475785,-10.88,decoy,crystal
ZINC39691317,-9.81,decoy,crystal
ZINC36579529,-8.95,decoy,crystal
ZINC32925005,-8.83,decoy,crystal
ZINC63830706,-8.5,decoy,crystal
ZINC63487026,-9.91,decoy,crystal
ZINC24831465,-9.19,decoy,crystal
ZINC08846163,-7.03,decoy,crystal
ZINC02314100,-8.03,decoy,crystal
ZINC13569627,-9.12,decoy,crystal
ZINC48836158,-7.44,decoy,crystal
ZINC20568200,-7.89,decoy,crystal
ZINC65077730,-9.68,decoy,crystal
ZINC39711631,-8.09,decoy,crystal
ZINC39674850,-9.99,decoy,crystal
ZINC03532430,-9.63,decoy,crystal
ZINC53657653,-9.32,decoy,crystal
ZINC35262650,-8.33,decoy,crystal
ZINC06680499,-9.9,decoy,crystal
ZINC49909496,-8.78,decoy,crystal
ZINC13077005,-10.6,decoy,crystal
ZINC17167095,-11.5,decoy,crystal
ZINC18118266,-7.6,decoy,crystal
ZINC21237547,-8.75,decoy,crystal
ZINC59384194,-8.34,decoy,crystal
ZINC05185581,-8.75,decoy,crystal
ZINC20463850,-6.32,decoy,crystal
ZINC40325374,-5.49,decoy,crystal
ZINC44858536,-5.65,decoy,crystal
ZINC14668384,-8.97,decoy,crystal
ZINC20153625,-11.46,decoy,crystal
ZINC39637289,-9.81,decoy,crystal
ZINC12777411,-8.14,decoy,crystal
ZINC39690334,-9.61,decoy,crystal
ZINC63425419,-8.59,decoy,crystal
ZINC10337051,-8.27,decoy,crystal
ZINC36587038,-7.74,decoy,crystal
ZINC45961879,-9.64,decoy,crystal
ZINC63580118,-8.56,decoy,crystal
ZINC20860922,-9.74,decoy,crystal
ZINC20151683,-8.21,decoy,crystal
CHEMBL1208893,-10.15,active,crystal
ZINC08644967,-9.56,decoy,crystal
ZINC01583240,-10.23,decoy,crystal
ZINC39671088,-9.13,decoy,crystal
ZINC39164780,-8.8,decoy,crystal
ZINC38976519,-10.09,decoy,crystal
ZINC21149466,-10.2,decoy,crystal
ZINC39582390,-8.15,decoy,crystal
CHEMBL520037,-8.71,active,crystal
ZINC36544154,-10.14,decoy,crystal
ZINC00275052,-6.86,decoy,crystal
ZINC14474935,-11.01,decoy,crystal
ZINC39696197,-8.85,decoy,crystal
ZINC24714208,-9.23,decoy,crystal
ZINC06244827,-8.41,decoy,crystal
ZINC64701034,-10.1,decoy,crystal
ZINC13496511,-8.65,decoy,crystal
ZINC15016934,-10.1,decoy,crystal
ZINC39953041,-9.19,decoy,crystal
ZINC63494656,-9.21,decoy,crystal
ZINC04772865,-8.91,decoy,crystal
ZINC02854110,-7.29,decoy,crystal
ZINC16628198,-6.36,decoy,crystal
ZINC63886484,-7.37,decoy,crystal
ZINC34774789,-7.6,decoy,crystal
ZINC63526241,-9.43,decoy,crystal
ZINC06229949,-9.85,decoy,crystal
ZINC14655517,-10.36,decoy,crystal
ZINC09518505,-9.19,decoy,crystal
ZINC39711374,-9.58,decoy,crystal
ZINC38965979,-9.23,decoy,crystal
ZINC34980217,-9.5,decoy,crystal
ZINC39652931,-9.92,decoy,crystal
ZINC64201920,-9.9,decoy,crystal
ZINC39467591,-9.58,decoy,crystal
ZINC09949720,-8.2,decoy,crystal
ZINC36490659,-10.39,decoy,crystal
ZINC07236821,-7.3,decoy,crystal
ZINC40170598,-11.14,decoy,crystal
ZINC22662454,-8.56,decoy,crystal
ZINC63310769,-9.45,decoy,crystal
ZINC04880683,-9.85,decoy,crystal
ZINC43548683,-7.91,decoy,crystal
ZINC65542762,-7.3,decoy,crystal
ZINC63363065,-9.59,decoy,crystal
ZINC14879354,-8.21,decoy,crystal
ZINC10875026,-7.33,decoy,crystal
ZINC29121680,-9.12,decoy,crystal
ZINC61770608,-8.16,decoy,crystal
ZINC19912261,-7.57,decoy,crystal
ZINC04151708,-8.85,decoy,crystal
ZINC23259695,-8.17,decoy,crystal
ZINC39617356,-8.28,decoy,crystal
ZINC09435189,-9.6,decoy,crystal
ZINC66877586,-7.88,decoy,crystal
ZINC64002271,-7.61,decoy,crystal
ZINC65169537,-8.69,decoy,crystal
ZINC12598902,-9.57,decoy,crystal
ZINC08692066,-10.23,decoy,crystal
ZINC09059264,-9.07,decoy,crystal
ZINC63831503,-8.97,decoy,crystal
ZINC39534183,-9.32,decoy,crystal
ZINC39686232,-8.14,decoy,crystal
ZINC39688676,-9.79,decoy,crystal
ZINC12130910,-7.72,decoy,crystal
ZINC36066299,-9.25,decoy,crystal
ZINC44858759,-5.79,decoy,crystal
ZINC02981846,-9.2,decoy,crystal
ZINC19941671,-10.09,decoy,crystal
ZINC36215574,-10.2,decoy,crystal
