Ligand,Energy,Label,Best_Receptor
ZINC66407132,-6.99,decoy,crystal
ZINC12757347,-7.61,decoy,crystal
ZINC43714360,-5.97,decoy,crystal
ZINC62497301,-6.97,decoy,crystal
ZINC66563300,-8.64,decoy,crystal
ZINC63384650,-9.58,decoy,crystal
ZINC00473701,-8.41,decoy,crystal
ZINC42911162,-6.99,decoy,crystal
ZINC52588385,-8.8,decoy,crystal
ZINC65374792,-9.55,decoy,crystal
ZINC67390503,-8.43,decoy,crystal
ZINC55297289,-6.7,decoy,crystal
ZINC45167927,-7.63,decoy,crystal
ZINC39919352,-7.2,decoy,crystal
ZINC11663840,-8.24,decoy,crystal
ZINC27559567,-8.92,decoy,crystal
ZINC48755142,-7.67,decoy,crystal
ZINC08826459,-10.03,decoy,crystal
ZINC51145843,-7.76,decoy,crystal
ZINC39681550,-8.35,decoy,crystal
ZINC62427970,-8.53,decoy,crystal
ZINC42295690,-6.92,decoy,crystal
ZINC17352422,-6.26,decoy,crystal
ZINC42183589,-8.9,decoy,crystal
ZINC39469523,-6.11,decoy,crystal
ZINC04588638,-6.34,decoy,crystal
ZINC44610553,-7.17,decoy,crystal
ZINC57530753,-7.84,decoy,crystal
ZINC66533378,-6.71,decoy,crystal
ZINC56522923,-8.71,decoy,crystal
ZINC04537846,-7.77,decoy,crystal
ZINC67117567,-6.56,decoy,crystal
ZINC44713759,-9.28,decoy,crystal
ZINC65477752,-8.39,decoy,crystal
ZINC62965834,-7.01,decoy,crystal
ZINC43209058,-8.94,decoy,crystal
ZINC39690613,-11.05,decoy,crystal
ZINC35736734,-6.39,decoy,crystal
ZINC44493489,-7.42,decoy,crystal
ZINC40053125,-7.33,decoy,crystal
ZINC20310126,-7.61,decoy,crystal
ZINC12521063,-9.86,decoy,crystal
ZINC01323514,-7.34,decoy,crystal
ZINC09831994,-9.0,decoy,crystal
ZINC35735582,-5.75,decoy,crystal
ZINC67389900,-9.16,decoy,crystal
ZINC47524872,-7.95,decoy,crystal
ZINC37620590,-7.48,decoy,crystal
ZINC37318880,-7.93,decoy,crystal
ZINC12303183,-7.93,decoy,crystal
ZINC41032815,-7.27,decoy,crystal
ZINC36746108,-5.88,decoy,crystal
ZINC06162446,-6.62,decoy,crystal
ZINC62894528,-6.25,decoy,crystal
ZINC43410635,-7.29,decoy,crystal
ZINC08935389,-8.16,decoy,crystal
ZINC13567675,-7.08,decoy,crystal
ZINC37242323,-6.92,decoy,crystal
ZINC63633456,-9.46,decoy,crystal
ZINC64617010,-7.57,decoy,crystal
ZINC50091946,-7.86,decoy,crystal
ZINC02388217,-6.57,decoy,crystal
ZINC39935646,-7.96,decoy,crystal
ZINC06793075,-9.23,decoy,crystal
CHEMBL1084106,-9.56,active,crystal
ZINC55539994,-8.42,decoy,crystal
ZINC13177143,-8.46,decoy,crystal
ZINC20911755,-8.8,decoy,crystal
ZINC07425775,-6.48,decoy,crystal
ZINC63570077,-9.13,decoy,crystal
ZINC19578686,-7.03,decoy,crystal
ZINC08964915,-9.53,decoy,crystal
ZINC39217401,-9.93,decoy,crystal
ZINC57846254,-7.49,decoy,crystal
ZINC12782199,-8.34,decoy,crystal
ZINC00164292,-5.13,decoy,crystal
ZINC58006246,-7.56,decoy,crystal
ZINC37649355,-8.0,decoy,crystal
ZINC67404951,-8.73,decoy,crystal
ZINC63122354,-10.33,decoy,crystal
ZINC32202586,-7.45,decoy,crystal
ZINC02525068,-7.54,decoy,crystal
ZINC08781123,-8.71,decoy,crystal
ZINC66528513,-5.26,decoy,crystal
ZINC43883271,-8.24,decoy,crystal
ZINC16183429,-10.06,decoy,crystal
ZINC65535026,-7.11,decoy,crystal
ZINC08791652,-8.85,decoy,crystal
ZINC37649908,-8.21,decoy,crystal
ZINC39927326,-8.22,decoy,crystal
ZINC41236893,-9.03,decoy,crystal
ZINC20023785,-8.61,decoy,crystal
ZINC36335125,-6.62,decoy,crystal
ZINC46852983,-7.99,decoy,crystal
ZINC52838723,-8.65,decoy,crystal
ZINC36324461,-7.76,decoy,crystal
ZINC41142992,-7.79,decoy,crystal
ZINC39533405,-9.58,decoy,crystal
ZINC29455139,-7.93,decoy,crystal
