Ligand,Energy,Label,Best_Receptor
ZINC02416646,-7.52,decoy,crystal
ZINC63658874,-9.95,decoy,crystal
ZINC08739828,-8.65,decoy,crystal
ZINC16001309,-8.75,decoy,crystal
ZINC39933486,-10.6,decoy,crystal
ZINC09491231,-9.33,decoy,crystal
ZINC38649143,-9.08,decoy,crystal
ZINC12373190,-9.62,decoy,crystal
ZINC08424899,-10.56,decoy,crystal
ZINC05383646,-5.88,decoy,crystal
ZINC19354095,-8.79,decoy,crystal
ZINC13681418,-10.7,decoy,crystal
ZINC39665387,-10.0,decoy,crystal
ZINC02112886,-8.38,decoy,crystal
ZINC15672784,-12.07,decoy,crystal
ZINC38769173,-8.93,decoy,crystal
ZINC39325222,-10.06,decoy,crystal
ZINC13121891,-8.49,decoy,crystal
ZINC59461845,-10.98,decoy,crystal
ZINC55475727,-8.08,decoy,crystal
ZINC39415639,-9.69,decoy,crystal
ZINC39595797,-8.69,decoy,crystal
ZINC39495769,-7.58,decoy,crystal
ZINC39961406,-10.51,decoy,crystal
ZINC40111859,-9.04,decoy,crystal
ZINC07986157,-9.34,decoy,crystal
ZINC41585384,-9.5,decoy,crystal
ZINC08720676,-11.1,decoy,crystal
ZINC01379934,-8.16,decoy,crystal
ZINC67317627,-9.16,decoy,crystal
ZINC44876612,-11.26,decoy,crystal
ZINC09218158,-7.78,decoy,crystal
ZINC43534473,-7.47,decoy,crystal
ZINC10232114,-8.37,decoy,crystal
ZINC40739244,-10.02,decoy,crystal
ZINC43211880,-7.9,decoy,crystal
ZINC17051154,-9.8,decoy,crystal
ZINC12470486,-9.93,decoy,crystal
ZINC09253730,-8.98,decoy,crystal
ZINC09766520,-10.37,decoy,crystal
ZINC35664786,-9.85,decoy,crystal
CHEMBL169186,-9.89,active,crystal
ZINC64817342,-9.23,decoy,crystal
ZINC07533060,-8.81,decoy,crystal
ZINC39467298,-11.64,decoy,crystal
ZINC23473368,-10.21,decoy,crystal
ZINC39695388,-8.61,decoy,crystal
ZINC60015902,-8.88,decoy,crystal
ZINC57380651,-9.86,decoy,crystal
ZINC44821582,-10.74,decoy,crystal
ZINC62933830,-5.88,decoy,crystal
ZINC28296565,-9.29,decoy,crystal
ZINC11791078,-9.79,decoy,crystal
ZINC40109488,-10.31,decoy,crystal
ZINC02086901,-8.15,decoy,crystal
CHEMBL45683,-11.94,active,crystal
ZINC29936315,-8.94,decoy,crystal
ZINC38630812,-8.61,decoy,crystal
ZINC32819253,-11.05,decoy,crystal
ZINC09108909,-8.63,decoy,crystal
ZINC20231727,-11.27,decoy,crystal
ZINC39856366,-9.98,decoy,crystal
ZINC64889680,-8.88,decoy,crystal
ZINC13197382,-9.81,decoy,crystal
ZINC34749414,-9.04,decoy,crystal
ZINC32782752,-9.79,decoy,crystal
ZINC39522920,-7.26,decoy,crystal
ZINC09155190,-10.59,decoy,crystal
ZINC39035085,-10.6,decoy,crystal
ZINC08923422,-8.72,decoy,crystal
ZINC43012033,-8.5,decoy,crystal
ZINC03021720,-10.82,decoy,crystal
ZINC36597666,-8.56,decoy,crystal
ZINC39324958,-12.22,decoy,crystal
ZINC28536647,-9.65,decoy,crystal
ZINC35810250,-10.62,decoy,crystal
ZINC35062801,-8.11,decoy,crystal
ZINC20764264,-7.51,decoy,crystal
ZINC09159666,-10.48,decoy,crystal
ZINC14479914,-7.63,decoy,crystal
ZINC40804722,-10.99,decoy,crystal
ZINC10698161,-8.49,decoy,crystal
ZINC16690137,-7.64,decoy,crystal
ZINC36660324,-11.07,decoy,crystal
ZINC40986488,-10.11,decoy,crystal
ZINC64714591,-11.4,decoy,crystal
ZINC15224456,-9.17,decoy,crystal
ZINC00262600,-7.23,decoy,crystal
ZINC36638160,-9.52,decoy,crystal
ZINC35705525,-8.8,decoy,crystal
ZINC09339147,-8.62,decoy,crystal
ZINC12877870,-10.7,decoy,crystal
ZINC24890746,-9.73,decoy,crystal
ZINC37311603,-7.52,decoy,crystal
ZINC21312854,-7.18,decoy,crystal
ZINC67241462,-9.08,decoy,crystal
CHEMBL1084028,-12.59,active,crystal
ZINC34762523,-8.89,decoy,crystal
ZINC03011522,-8.36,decoy,crystal
ZINC66908979,-8.88,decoy,crystal
ZINC02995435,-9.31,decoy,crystal
ZINC36207307,-10.06,decoy,crystal
ZINC38959909,-10.11,decoy,crystal
ZINC01086202,-7.98,decoy,crystal
ZINC39686313,-11.07,decoy,crystal
ZINC35970221,-9.54,decoy,crystal
ZINC45834661,-9.29,decoy,crystal
ZINC02203283,-10.06,decoy,crystal
ZINC30619622,-9.86,decoy,crystal
ZINC40111111,-10.34,decoy,crystal
ZINC39942478,-9.76,decoy,crystal
ZINC39344906,-11.23,decoy,crystal
ZINC05863816,-8.57,decoy,crystal
ZINC09809534,-9.62,decoy,crystal
ZINC13661199,-9.19,decoy,crystal
ZINC50063357,-10.56,decoy,crystal
ZINC59249225,-11.1,decoy,crystal
ZINC21798125,-9.11,decoy,crystal
ZINC39446052,-8.75,decoy,crystal
ZINC06501064,-10.89,decoy,crystal
ZINC20681756,-9.95,decoy,crystal
ZINC63375521,-8.32,decoy,crystal
ZINC39639409,-10.47,decoy,crystal
ZINC20149069,-9.0,decoy,crystal
ZINC59992919,-9.06,decoy,crystal
ZINC39855265,-8.91,decoy,crystal
ZINC38688598,-9.64,decoy,crystal
ZINC61693176,-7.62,decoy,crystal
ZINC11971762,-10.88,decoy,crystal
ZINC03292328,-10.58,decoy,crystal
ZINC39354234,-10.56,decoy,crystal
ZINC39845577,-10.13,decoy,crystal
ZINC12652288,-8.11,decoy,crystal
ZINC14545183,-10.6,decoy,crystal
ZINC45896326,-8.54,decoy,crystal
ZINC20694627,-7.78,decoy,crystal
ZINC65081034,-10.73,decoy,crystal
ZINC40720009,-8.03,decoy,crystal
ZINC46791906,-10.51,decoy,crystal
ZINC39686747,-8.6,decoy,crystal
ZINC27662407,-8.97,decoy,crystal
ZINC09956832,-10.58,decoy,crystal
ZINC14387693,-10.02,decoy,crystal
ZINC14638908,-11.22,decoy,crystal
ZINC18129877,-9.03,decoy,crystal
ZINC67549974,-9.36,decoy,crystal
ZINC09669921,-10.86,decoy,crystal
ZINC04819852,-9.7,decoy,crystal
ZINC20153266,-10.12,decoy,crystal
ZINC35934796,-8.8,decoy,crystal
ZINC39448847,-9.1,decoy,crystal
ZINC16931189,-9.52,decoy,crystal
ZINC63486394,-9.78,decoy,crystal
ZINC30987159,-10.92,decoy,crystal
ZINC64392336,-8.81,decoy,crystal
ZINC58168411,-8.36,decoy,crystal
ZINC09885176,-10.22,decoy,crystal
ZINC09315815,-10.62,decoy,crystal
ZINC63362000,-9.47,decoy,crystal
ZINC14076631,-8.63,decoy,crystal
ZINC63362617,-8.88,decoy,crystal
ZINC35667440,-9.61,decoy,crystal
