Ligand,Energy,Label,Best_Receptor
ZINC04771114,-7.42,decoy,crystal
ZINC08509824,-8.18,decoy,crystal
ZINC41665784,-7.31,decoy,crystal
ZINC04938627,-8.28,decoy,crystal
ZINC50131555,-8.5,decoy,crystal
ZINC49201035,-8.53,decoy,crystal
ZINC14460906,-9.07,decoy,crystal
ZINC38905652,-9.5,decoy,crystal
ZINC57838470,-10.09,decoy,crystal
ZINC45251601,-8.67,decoy,crystal
ZINC39927195,-9.29,decoy,crystal
ZINC08889615,-8.35,decoy,crystal
ZINC07574024,-9.05,decoy,crystal
ZINC02413128,-8.36,decoy,crystal
ZINC02554046,-6.41,decoy,crystal
ZINC35007059,-8.86,decoy,crystal
ZINC39412769,-7.23,decoy,crystal
ZINC15382336,-9.25,decoy,crystal
CHEMBL340203,-8.47,active,crystal
ZINC67447047,-8.06,decoy,crystal
ZINC12000158,-9.54,decoy,crystal
ZINC04751863,-9.13,decoy,crystal
ZINC46084932,-9.33,decoy,crystal
ZINC16756572,-8.44,decoy,crystal
ZINC32537135,-9.99,decoy,crystal
ZINC12345565,-9.99,decoy,crystal
ZINC32899001,-8.86,decoy,crystal
ZINC09320460,-9.77,decoy,crystal
ZINC06219658,-9.24,decoy,crystal
ZINC64054930,-9.6,decoy,crystal
ZINC41548120,-8.36,decoy,crystal
ZINC28577659,-8.83,decoy,crystal
ZINC09253596,-8.86,decoy,crystal
ZINC22576620,-9.43,decoy,crystal
ZINC34797307,-9.43,decoy,crystal
ZINC39638961,-9.29,decoy,crystal
ZINC05029531,-9.09,decoy,crystal
ZINC13689564,-9.18,decoy,crystal
ZINC27028982,-7.13,decoy,crystal
ZINC08964116,-8.66,decoy,crystal
ZINC10085555,-8.41,decoy,crystal
ZINC08343612,-9.69,decoy,crystal
ZINC20555537,-8.57,decoy,crystal
CHEMBL205158,-10.35,active,crystal
ZINC38195453,-7.28,decoy,crystal
ZINC32094006,-8.86,decoy,crystal
ZINC35027115,-9.32,decoy,crystal
ZINC20704212,-7.78,decoy,crystal
ZINC13576693,-8.32,decoy,crystal
ZINC09570588,-11.04,decoy,crystal
ZINC51413156,-8.2,decoy,crystal
ZINC64554991,-7.87,decoy,crystal
ZINC01443119,-8.61,decoy,crystal
ZINC66402599,-8.11,decoy,crystal
ZINC07005311,-8.51,decoy,crystal
ZINC07327839,-9.43,decoy,crystal
ZINC20257318,-7.96,decoy,crystal
ZINC63224571,-10.33,decoy,crystal
ZINC19393626,-7.3,decoy,crystal
ZINC05782581,-9.14,decoy,crystal
ZINC11694145,-8.94,decoy,crystal
ZINC35445162,-7.94,decoy,crystal
ZINC39664595,-9.11,decoy,crystal
ZINC38577470,-8.33,decoy,crystal
ZINC09905227,-9.49,decoy,crystal
ZINC22883420,-9.63,decoy,crystal
ZINC35486969,-9.2,decoy,crystal
ZINC24756491,-8.28,decoy,crystal
ZINC43253227,-9.25,decoy,crystal
CHEMBL481546,-9.73,active,crystal
ZINC14014081,-11.1,decoy,crystal
ZINC17177819,-9.11,decoy,crystal
ZINC61542999,-6.22,decoy,crystal
ZINC22464473,-9.28,decoy,crystal
CHEMBL365663,-9.75,active,crystal
ZINC67266599,-8.14,decoy,crystal
ZINC32975664,-11.36,decoy,crystal
ZINC50420995,-7.58,decoy,crystal
ZINC05537770,-9.51,decoy,crystal
ZINC38870097,-7.17,decoy,crystal
ZINC35844482,-9.93,decoy,crystal
ZINC37061051,-8.6,decoy,crystal
ZINC08568085,-5.8,decoy,crystal
ZINC63786384,-9.73,decoy,crystal
ZINC32924311,-9.51,decoy,crystal
ZINC21166246,-10.1,decoy,crystal
ZINC66178592,-8.9,decoy,crystal
ZINC49546805,-8.34,decoy,crystal
ZINC12570635,-9.19,decoy,crystal
ZINC00958829,-9.41,decoy,crystal
ZINC32905800,-7.67,decoy,crystal
ZINC13197828,-8.96,decoy,crystal
ZINC04776965,-9.0,decoy,crystal
ZINC12868307,-9.18,decoy,crystal
ZINC02761702,-8.71,decoy,crystal
ZINC36628961,-8.41,decoy,crystal
ZINC39931507,-8.48,decoy,crystal
ZINC67255453,-10.83,decoy,crystal
ZINC09465082,-9.51,decoy,crystal
ZINC66248147,-9.15,decoy,crystal
ZINC06194959,-10.84,decoy,crystal
ZINC40214992,-8.24,decoy,crystal
