Ligand,Energy,Label,Best_Receptor
ZINC39230536,-10.3,decoy,crystal
ZINC39977362,-8.52,decoy,crystal
ZINC38604551,-7.98,decoy,crystal
ZINC09505814,-11.42,decoy,crystal
ZINC57840139,-10.13,decoy,crystal
ZINC44713654,-10.3,decoy,crystal
ZINC39543918,-9.95,decoy,crystal
ZINC63376017,-9.83,decoy,crystal
ZINC06443616,-8.56,decoy,crystal
ZINC07913605,-10.78,decoy,crystal
ZINC16228220,-9.25,decoy,crystal
ZINC05581871,-10.45,decoy,crystal
ZINC20894997,-10.26,decoy,crystal
ZINC51692817,-7.21,decoy,crystal
ZINC01004363,-9.49,decoy,crystal
ZINC59210836,-8.46,decoy,crystal
ZINC27586940,-8.9,decoy,crystal
ZINC30587274,-8.87,decoy,crystal
ZINC08879943,-9.12,decoy,crystal
ZINC66080665,-9.31,decoy,crystal
ZINC12195232,-10.83,decoy,crystal
ZINC35706634,-13.2,decoy,crystal
ZINC36753314,-6.83,decoy,crystal
ZINC39632019,-8.58,decoy,crystal
ZINC49241526,-8.08,decoy,crystal
ZINC58900068,-6.09,decoy,crystal
ZINC02130084,-6.65,decoy,crystal
ZINC63557719,-10.19,decoy,crystal
ZINC20913772,-8.1,decoy,crystal
ZINC09408868,-11.96,decoy,crystal
ZINC36952772,-6.37,decoy,crystal
ZINC63830694,-9.79,decoy,crystal
ZINC34761181,-9.45,decoy,crystal
ZINC12790909,-8.97,decoy,crystal
ZINC41669890,-8.67,decoy,crystal
ZINC13500200,-9.17,decoy,crystal
ZINC07307311,-9.78,decoy,crystal
ZINC67033360,-9.03,decoy,crystal
ZINC55132884,-7.94,decoy,crystal
ZINC09995190,-11.01,decoy,crystal
ZINC49152135,-8.47,decoy,crystal
ZINC14990418,-11.52,decoy,crystal
ZINC38517777,-9.2,decoy,crystal
ZINC00711451,-10.06,decoy,crystal
ZINC64491141,-12.21,decoy,crystal
ZINC35226514,-9.1,decoy,crystal
ZINC13118055,-8.29,decoy,crystal
ZINC17158306,-6.66,decoy,crystal
ZINC64800690,-10.06,decoy,crystal
ZINC15672594,-9.82,decoy,crystal
ZINC08926299,-11.57,decoy,crystal
ZINC58850050,-13.28,decoy,crystal
ZINC20463773,-10.58,decoy,crystal
ZINC39659749,-9.08,decoy,crystal
ZINC47914301,-8.87,decoy,crystal
ZINC19839950,-9.69,decoy,crystal
CHEMBL410093,-12.1,active,crystal
ZINC23549359,-10.12,decoy,crystal
ZINC34699196,-8.83,decoy,crystal
ZINC58848856,-10.45,decoy,crystal
ZINC10690757,-12.26,decoy,crystal
ZINC39197455,-10.96,decoy,crystal
ZINC40708909,-7.94,decoy,crystal
ZINC35450904,-5.15,decoy,crystal
ZINC37645695,-7.7,decoy,crystal
ZINC10439321,-10.38,decoy,crystal
ZINC39964820,-10.89,decoy,crystal
ZINC02415335,-8.91,decoy,crystal
ZINC02927162,-8.96,decoy,crystal
ZINC63648731,-10.72,decoy,crystal
ZINC40921056,-9.93,decoy,crystal
ZINC39420944,-10.58,decoy,crystal
ZINC41586436,-9.08,decoy,crystal
ZINC66567605,-8.27,decoy,crystal
ZINC40014534,-6.64,decoy,crystal
ZINC43609416,-10.94,decoy,crystal
ZINC24515488,-11.09,decoy,crystal
ZINC50265303,-8.38,decoy,crystal
ZINC38600416,-7.9,decoy,crystal
ZINC21526059,-9.12,decoy,crystal
ZINC05043180,-9.5,decoy,crystal
CHEMBL329350,-8.14,active,crystal
ZINC35862486,-10.48,decoy,crystal
ZINC66240328,-8.36,decoy,crystal
ZINC36660384,-10.46,decoy,crystal
ZINC45369113,-6.75,decoy,crystal
ZINC36876782,-8.48,decoy,crystal
ZINC11599159,-10.25,decoy,crystal
ZINC40738663,-10.69,decoy,crystal
ZINC32921858,-10.09,decoy,crystal
ZINC03359436,-10.71,decoy,crystal
ZINC38659593,-10.33,decoy,crystal
ZINC64541245,-10.51,decoy,crystal
ZINC35934483,-9.41,decoy,crystal
ZINC64363347,-8.94,decoy,crystal
ZINC21915162,-10.56,decoy,crystal
ZINC36146612,-9.58,decoy,crystal
ZINC39543681,-6.73,decoy,crystal
ZINC28632379,-9.16,decoy,crystal
ZINC10690321,-12.74,decoy,crystal
ZINC12712096,-10.38,decoy,crystal
ZINC02710000,-4.89,decoy,crystal
ZINC66760676,-9.37,decoy,crystal
ZINC56854647,-8.57,decoy,crystal
CHEMBL389333,-10.78,active,crystal
ZINC52283222,-8.43,decoy,crystal
ZINC00896650,-7.33,decoy,crystal
ZINC47884409,-9.64,decoy,crystal
ZINC03323738,-10.17,decoy,crystal
ZINC61594909,-7.85,decoy,crystal
ZINC09350126,-7.44,decoy,crystal
ZINC38966303,-8.93,decoy,crystal
ZINC01296283,-8.01,decoy,crystal
ZINC06804748,-9.78,decoy,crystal
ZINC36556615,-10.95,decoy,crystal
ZINC02213587,-6.26,decoy,crystal
ZINC48788007,-7.11,decoy,crystal
ZINC63633459,-7.51,decoy,crystal
CHEMBL501751,-12.23,active,crystal
ZINC65543805,-7.81,decoy,crystal
ZINC55125159,-8.55,decoy,crystal
ZINC08617335,-8.27,decoy,crystal
ZINC38561571,-10.75,decoy,crystal
ZINC39623329,-6.97,decoy,crystal
ZINC38705057,-7.72,decoy,crystal
ZINC02241455,-11.2,decoy,crystal
ZINC49152794,-7.97,decoy,crystal
ZINC36307182,-8.68,decoy,crystal
ZINC45125006,-10.43,decoy,crystal
CHEMBL244297,-10.82,active,crystal
ZINC39853474,-5.71,decoy,crystal
ZINC09466846,-10.2,decoy,crystal
ZINC16231611,-11.82,decoy,crystal
ZINC64502350,-9.67,decoy,crystal
ZINC39362579,-9.02,decoy,crystal
ZINC65074623,-10.29,decoy,crystal
ZINC36158710,-11.3,decoy,crystal
ZINC36207393,-10.29,decoy,crystal
ZINC04211860,-10.87,decoy,crystal
ZINC35898210,-9.25,decoy,crystal
ZINC03018038,-11.67,decoy,crystal
ZINC16041266,-8.44,decoy,crystal
ZINC21839232,-10.56,decoy,crystal
ZINC06245567,-11.47,decoy,crystal
ZINC12489803,-8.64,decoy,crystal
ZINC21861148,-5.34,decoy,crystal
ZINC44855339,-11.27,decoy,crystal
ZINC09741828,-9.0,decoy,crystal
ZINC05126573,-7.26,decoy,crystal
ZINC28052749,-7.76,decoy,crystal
ZINC35325302,-8.39,decoy,crystal
ZINC37983351,-9.4,decoy,crystal
ZINC08768585,-6.44,decoy,crystal
ZINC54189489,-9.55,decoy,crystal
ZINC06769618,-9.29,decoy,crystal
ZINC54286770,-9.17,decoy,crystal
ZINC39753971,-11.35,decoy,crystal
ZINC04574810,-9.96,decoy,crystal
ZINC06659406,-11.58,decoy,crystal
ZINC06199202,-10.02,decoy,crystal
ZINC64540077,-11.81,decoy,crystal
ZINC39669005,-8.4,decoy,crystal
ZINC14713143,-8.77,decoy,crystal
ZINC36587118,-5.07,decoy,crystal
ZINC01808788,-7.1,decoy,crystal
ZINC40924304,-10.1,decoy,crystal
ZINC09881641,-10.46,decoy,crystal
ZINC14650089,-11.38,decoy,crystal
ZINC31046886,-11.57,decoy,crystal
ZINC63137567,-4.39,decoy,crystal
ZINC10098341,-10.47,decoy,crystal
ZINC35938820,-11.51,decoy,crystal
ZINC04237608,-5.71,decoy,crystal
ZINC63755447,-11.59,decoy,crystal
ZINC63350155,-8.66,decoy,crystal
ZINC05898337,-9.74,decoy,crystal
ZINC53475153,-10.25,decoy,crystal
ZINC19234287,-10.81,decoy,crystal
ZINC22373388,-11.31,decoy,crystal
ZINC64392144,-11.75,decoy,crystal
ZINC58989438,-10.98,decoy,crystal
ZINC22455901,-5.63,decoy,crystal
ZINC50398189,-8.5,decoy,crystal
ZINC56941765,-10.58,decoy,crystal
ZINC25080146,-10.94,decoy,crystal
ZINC46864220,-12.17,decoy,crystal
