Ligand,Energy,Label,Best_Receptor
ZINC58161400,-8.63,decoy,crystal
ZINC09490179,-7.94,decoy,crystal
ZINC36534616,-8.17,decoy,crystal
ZINC65074802,-9.95,decoy,crystal
ZINC64623138,-8.69,decoy,crystal
ZINC10216061,-9.04,decoy,crystal
ZINC63730260,-10.63,decoy,crystal
ZINC34786042,-7.25,decoy,crystal
ZINC36019356,-8.5,decoy,crystal
ZINC19015508,-10.22,decoy,crystal
ZINC14350945,-9.79,decoy,crystal
ZINC29120016,-8.28,decoy,crystal
ZINC12485521,-8.24,decoy,crystal
ZINC39690580,-8.65,decoy,crystal
ZINC42755484,-6.98,decoy,crystal
ZINC19636546,-10.28,decoy,crystal
ZINC04081366,-6.54,decoy,crystal
ZINC34791854,-5.59,decoy,crystal
ZINC63146597,-8.78,decoy,crystal
ZINC36093611,-8.95,decoy,crystal
ZINC67101733,-8.05,decoy,crystal
ZINC00729089,-10.07,decoy,crystal
ZINC03451754,-9.6,decoy,crystal
ZINC20600501,-9.06,decoy,crystal
ZINC21883079,-10.07,decoy,crystal
ZINC24556735,-8.31,decoy,crystal
ZINC11130107,-10.79,decoy,crystal
ZINC42026690,-7.67,decoy,crystal
ZINC36050332,-8.01,decoy,crystal
ZINC20832050,-10.23,decoy,crystal
ZINC18461502,-9.53,decoy,crystal
ZINC66096992,-9.35,decoy,crystal
ZINC35379142,-10.06,decoy,crystal
ZINC49429160,-9.56,decoy,crystal
ZINC10031261,-8.85,decoy,crystal
ZINC16572736,-8.8,decoy,crystal
ZINC36218090,-8.81,decoy,crystal
ZINC66856611,-9.42,decoy,crystal
ZINC00528143,-6.97,decoy,crystal
ZINC50693561,-6.44,decoy,crystal
ZINC39653014,-8.18,decoy,crystal
ZINC09120365,-10.15,decoy,crystal
ZINC13894291,-9.15,decoy,crystal
ZINC40476489,-7.86,decoy,crystal
ZINC24093865,-9.65,decoy,crystal
ZINC38700693,-9.41,decoy,crystal
ZINC67133148,-9.5,decoy,crystal
ZINC39510498,-6.32,decoy,crystal
ZINC38799178,-9.52,decoy,crystal
ZINC22405238,-9.72,decoy,crystal
ZINC10010863,-10.1,decoy,crystal
ZINC38678739,-8.06,decoy,crystal
ZINC10642449,-8.93,decoy,crystal
ZINC39642036,-9.57,decoy,crystal
ZINC40893801,-10.7,decoy,crystal
ZINC37191421,-7.24,decoy,crystal
ZINC37333544,-7.4,decoy,crystal
ZINC39686648,-9.22,decoy,crystal
ZINC59317331,-8.88,decoy,crystal
ZINC59054340,-8.38,decoy,crystal
ZINC16372383,-9.99,decoy,crystal
CHEMBL508412,-12.61,active,crystal
ZINC13352877,-9.77,decoy,crystal
ZINC04269869,-6.78,decoy,crystal
ZINC35456497,-8.52,decoy,crystal
CHEMBL181233,-10.28,active,crystal
ZINC08920348,-10.53,decoy,crystal
ZINC40291045,-8.43,decoy,crystal
ZINC15707188,-8.42,decoy,crystal
ZINC09046530,-6.76,decoy,crystal
ZINC39686734,-9.18,decoy,crystal
ZINC35674641,-7.24,decoy,crystal
ZINC14991264,-9.74,decoy,crystal
ZINC33113369,-9.08,decoy,crystal
ZINC32669113,-9.05,decoy,crystal
ZINC34897619,-8.43,decoy,crystal
ZINC56229194,-6.94,decoy,crystal
ZINC21558505,-8.59,decoy,crystal
ZINC64672744,-8.24,decoy,crystal
ZINC11751801,-7.31,decoy,crystal
ZINC39678375,-9.58,decoy,crystal
ZINC23115838,-9.93,decoy,crystal
ZINC08833006,-8.07,decoy,crystal
ZINC39639306,-8.37,decoy,crystal
ZINC04869591,-7.72,decoy,crystal
ZINC01803656,-8.97,decoy,crystal
ZINC36024594,-8.61,decoy,crystal
ZINC39667017,-9.0,decoy,crystal
ZINC56813690,-6.4,decoy,crystal
ZINC60386545,-9.61,decoy,crystal
ZINC39676573,-9.43,decoy,crystal
ZINC34942116,-7.39,decoy,crystal
ZINC39686645,-8.43,decoy,crystal
ZINC31056713,-9.26,decoy,crystal
ZINC57328249,-5.7,decoy,crystal
ZINC63204481,-9.77,decoy,crystal
ZINC14368213,-8.51,decoy,crystal
CHEMBL487757,-12.7,active,crystal
ZINC12705362,-7.78,decoy,crystal
ZINC00623033,-8.15,decoy,crystal
ZINC03770428,-7.88,decoy,crystal
ZINC08887694,-8.92,decoy,crystal
ZINC49424960,-8.05,decoy,crystal
ZINC04984416,-5.63,decoy,crystal
ZINC13073008,-9.34,decoy,crystal
ZINC20569904,-8.79,decoy,crystal
ZINC20764095,-7.64,decoy,crystal
ZINC32962147,-8.96,decoy,crystal
ZINC39694141,-9.3,decoy,crystal
ZINC39609131,-8.95,decoy,crystal
ZINC02143058,-7.79,decoy,crystal
ZINC39600880,-8.16,decoy,crystal
ZINC39676552,-8.67,decoy,crystal
ZINC16572328,-8.65,decoy,crystal
ZINC49509374,-9.79,decoy,crystal
ZINC20829096,-8.77,decoy,crystal
ZINC18744549,-7.44,decoy,crystal
ZINC45471253,-8.26,decoy,crystal
ZINC02837785,-8.13,decoy,crystal
